t,total,PE_grav,PE_contact,KE_slab,PEel_slab,KE_cube0,PEel_cube0
0.0,-0.00018028411516815736,-0.00035911330065725516,0.0,0.0001663811768774037,5.230301111694085e-06,7.217707500000001e-06,3.210366239916422e-36
0.0005,-0.00035745770796538645,-0.0010549637678459295,0.0,0.00062927849090815,3.935673897239312e-05,2.8870830000000004e-05,1.324009390074464e-35
0.001,-0.0005327848345700998,-0.002060498946370316,0.0,0.0013343352341623226,0.00012841951013789333,6.495936750000004e-05,2.3253612393815597e-35
0.0015,-0.0007064958265112576,-0.003347512699563373,0.0,0.002238575729301165,0.0002869578237509504,0.0001154833200000001,2.807915060605787e-35
0.002,-0.0008787602015849503,-0.004889382723308481,0.0,0.0033112848812748012,0.0005188949529487297,0.00018044268749999991,2.823024178959046e-35
0.0025,-0.0010502363983270922,-0.006662748075789489,0.0,0.00452453807154771,0.0008281361359146864,0.00025983747,2.636467398578393e-35
0.003,-0.001222034888557968,-0.008648072388451035,0.0,0.005842834686411426,0.0012295351459816412,0.00035366766749999994,2.444120358298198e-35
0.0035,-0.001395310434947783,-0.01082922785022717,0.0,0.0072187739754799906,0.0017532101597993966,0.0004619332800000004,2.3216965930961006e-35
0.004,-0.0015708358817931641,-0.013192368817628327,0.0,0.008596136528201733,0.00244076210013343,0.0005846343075000007,2.271261566732076e-35
0.0045000000000000005,-0.001748806959773832,-0.015724430678269098,0.0,0.009917186024451494,0.0033366669440437697,0.000721770750000001,2.2677229029648748e-35
0.005,-0.0019289200045664728,-0.01841159073842847,0.0,0.011129673110820217,0.004479655015541778,0.0008733426075000007,2.2844488864508814e-35
0.0055,-0.0021106013015521202,-0.021237974962845033,0.0,0.012190600203509525,0.005897423577783388,0.00103934988,2.3033783992971862e-35
0.006,-0.002293223928324782,-0.024184805452998354,0.0,0.013066472957259762,0.00760531599991381,0.0012197925674999994,2.3163118341719154e-35
0.006500000000000001,-0.0024762099374956333,-0.027230079192761655,0.0,0.013731689977423875,0.009607508607842145,0.0014146706700000008,2.322068558878316e-35
0.007,-0.002659013881743999,-0.030348768181226417,0.0,0.01416708439393657,0.011898685718045848,0.0016239841875,2.322787354441712e-35
0.0075,-0.00284105170103071,-0.03351344989181554,0.0,0.01435974277626157,0.01446492229452326,0.0018477331200000015,2.321181818439329e-35
0.008,-0.0030216488961754134,-0.03669522453713915,0.0,0.01430399404961508,0.017283664123848654,0.002085917467500003,2.319206101947271e-35
0.0085,-0.0032000471113816514,-0.039864755106393285,0.0,0.014002685492008038,0.020323485273003594,0.0023385372300000055,2.317792421989998e-35
