t,total,PE_grav,PE_contact,KE_slab,PEel_slab,KE_cube0,PEel_cube0,KE_cube1,PEel_cube1,KE_cube2,PEel_cube2
0.0,-0.00019471953016815739,-0.0003879841306572552,0.0,0.00016638117687740373,5.230301111694084e-06,7.217707500000001e-06,3.210366239916422e-36,7.217707500000001e-06,3.210366239916422e-36,7.217707500000001e-06,3.210366239916422e-36
0.0005,-0.00038632853796538634,-0.0011415762578459296,0.0,0.0006292784909081501,3.9356738972393105e-05,2.8870830000000004e-05,1.324009390074464e-35,2.8870830000000004e-05,1.324009390074464e-35,2.8870830000000004e-05,1.324009390074464e-35
0.001,-0.0005760910795701,-0.0022337239263703164,0.0,0.0013343352341623226,0.00012841951013789325,6.495936750000004e-05,2.3253612393815597e-35,6.495936750000004e-05,2.3253612393815597e-35,6.495936750000004e-05,2.3253612393815597e-35
0.0015,-0.0007642374865112576,-0.003636220999563374,0.0,0.002238575729301166,0.00028695782375095017,0.0001154833200000001,2.807915060605787e-35,0.0001154833200000001,2.807915060605787e-35,0.0001154833200000001,2.807915060605787e-35
0.002,-0.00095093727658495,-0.005322445173308482,0.0,0.0033112848812748025,0.0005188949529487294,0.00018044268749999991,2.823024178959046e-35,0.00018044268749999991,2.823024178959046e-35,0.00018044268749999991,2.823024178959046e-35
0.0025,-0.0011368488883270866,-0.007269035505789493,0.0,0.004524538071547721,0.0008281361359146864,0.00025983747,2.636467398578393e-35,0.00025983747,2.636467398578393e-35,0.00025983747,2.636467398578393e-35
0.003,-0.0013230827935579621,-0.009456455628451042,0.0,0.005842834686411438,0.0012295351459816414,0.00035366766749999994,2.444120358298198e-35,0.00035366766749999994,2.444120358298198e-35,0.00035366766749999994,2.444120358298198e-35
0.0035,-0.0015107937549477812,-0.011868577730227177,0.0,0.0072187739754799975,0.001753210159799397,0.0004619332800000004,2.3216965930961006e-35,0.0004619332800000004,2.3216965930961006e-35,0.0004619332800000004,2.3216965930961006e-35
0.004,-0.0017007546167931605,-0.014491556167628337,0.0,0.008596136528201747,0.002440762100133431,0.0005846343075000007,2.271261566732076e-35,0.0005846343075000007,2.271261566732076e-35,0.0005846343075000007,2.271261566732076e-35
0.0045000000000000005,-0.0018931611097738263,-0.017312326328269113,0.0,0.00991718602445151,0.003336666944043772,0.000721770750000001,2.2677229029648748e-35,0.000721770750000001,2.2677229029648748e-35,0.000721770750000001,2.2677229029648748e-35
0.005,-0.0020877095695664705,-0.02031706551842849,0.0,0.011129673110820235,0.004479655015541782,0.0008733426075000007,2.2844488864508814e-35,0.0008733426075000007,2.2844488864508814e-35,0.0008733426075000007,2.2844488864508814e-35
0.0055,-0.0022838262815521315,-0.023489899702845048,0.0,0.012190600203509525,0.005897423577783392,0.00103934988,2.3033783992971862e-35,0.00103934988,2.3033783992971862e-35,0.00103934988,2.3033783992971862e-35
0.006,-0.002480884323324793,-0.026812050982998367,0.0,0.013066472957259762,0.007605315999913813,0.0012197925674999994,2.3163118341719154e-35,0.0012197925674999994,2.3163118341719154e-35,0.0012197925674999994,2.3163118341719154e-35
0.006500000000000001,-0.002678305747495644,-0.030261516342761672,0.0,0.013731689977423875,0.00960750860784215,0.0014146706700000008,2.322068558878316e-35,0.0014146706700000008,2.322068558878316e-35,0.0014146706700000008,2.322068558878316e-35
0.007,-0.0028755451067440166,-0.03381326778122644,0.0,0.01416708439393657,0.01189868571804585,0.0016239841875,2.322787354441712e-35,0.0016239841875,2.322787354441712e-35,0.0016239841875,2.322787354441712e-35
0.0075,-0.0030720183410307134,-0.03743988277181555,0.0,0.01435974277626157,0.014464922294523262,0.0018477331200000015,2.321181818439329e-35,0.0018477331200000015,2.321181818439329e-35,0.0018477331200000015,2.321181818439329e-35
0.008,-0.0032670509511754514,-0.04111246152713917,0.0,0.014303994049615047,0.017283664123848658,0.002085917467500003,2.319206101947271e-35,0.002085917467500003,2.319206101947271e-35,0.002085917467500003,2.319206101947271e-35
0.0085,-0.0034598845813816476,-0.044801667036393295,0.0,0.014002685492008038,0.020323485273003587,0.0023385372300000055,2.317792421989998e-35,0.0023385372300000055,2.317792421989998e-35,0.0023385372300000055,2.317792421989998e-35
0.009000000000000001,-0.003649735489006635,-0.048478732840224116,0.0,0.013467831523315448,0.023544388605402013,0.0026055924075000076,2.317118627381318e-35,0.0026055924075000076,2.317118627381318e-35,0.0026055924075000076,2.317118627381318e-35
0.0095,-0.003835870758349458,-0.05211631531735371,0.0,0.012720214253353443,0.026898981305650816,0.0028870829999999973,2.3169909521006283e-35,0.0028870829999999973,2.3169909521006283e-35,0.0028870829999999973,2.3169909521006283e-35
0.01,-0.00401766799792206,-0.055689112743919425,0.0,0.01178809316349218,0.030334324560005226,0.0031830090074999864,2.317133826683784e-35,0.0031830090074999864,2.317133826683784e-35,0.0031830090074999864,2.317133826683784e-35
0.0105,-0.0041946427985310245,-0.05917422287241391,0.0,0.010705500773062242,0.0337939680108207,0.003493370429999981,2.3173372380420637e-35,0.003493370429999981,2.3173372380420637e-35,0.003493370429999981,2.3173372380420637e-35
0.011,-0.0043664491209628245,-0.06255125567968779,0.0,0.009510572667079619,0.037219732089145426,0.003818167267499975,2.3174932311792893e-35,0.003818167267499975,2.3174932311792893e-35,0.003818167267499975,2.3174932311792893e-35
0.0115,-0.004532868741313853,-0.06580225193714238,0.0,0.008244116066412784,0.04055306856941584,0.004157399519999969,2.3175742438642218e-35,0.004157399519999969,2.3175742438642218e-35,0.004157399519999969,2.3175742438642218e-35
0.012,-0.004693804143805699,-0.06891147791329812,0.0,0.0069483691759861235,0.043736103031006404,0.004511067187499963,2.3175955266886508e-35,0.004511067187499963,2.3175955266886508e-35,0.004511067187499963,2.3175955266886508e-35
0.0125,-0.004849280000754366,-0.07186517128568873,0.0,0.0056657874555533,0.046712593019381195,0.004879170269999955,2.3175845114012725e-35,0.004879170269999955,2.3175845114012725e-35,0.004879170269999955,2.3175845114012725e-35
0.013000000000000001,-0.00499944928394179,-0.07465130514265468,0.0,0.004437733226210585,0.049428996330002466,0.0052617087674999485,2.317563935098441e-35,0.0052617087674999485,2.317563935098441e-35,0.0052617087674999485,2.317563935098441e-35
0.0135,-0.005144596194335188,-0.07725941944468695,0.0,0.003303067780315593,0.051835707430036355,0.005658682679999939,2.3175465802852682e-35,0.005658682679999939,2.3175465802852682e-35,0.005658682679999939,2.3175465802852682e-35
0.014,-0.005285129996062385,-0.07968054696997656,0.0,0.0022967539073390007,0.05388838704407538,0.006070092007499932,2.3175366266425371e-35,0.006070092007499932,2.3175366266425371e-35,0.006070092007499932,2.3175366266425371e-35
0.0145,-0.005421568645114658,-0.08190723803923454,0.0,0.0014486133342375988,0.05554924580988251,0.006495936749999924,2.3175332314165093e-35,0.006495936749999924,2.3175332314165093e-35,0.006495936749999924,2.3175332314165093e-35
0.015,-0.005554515269789867,-0.08393366891565907,0.0,0.0007823480714902238,0.05678815485187924,0.006936216907499913,2.31753376385327e-35,0.006936216907499913,2.31753376385327e-35,0.006936216907499913,2.31753376385327e-35
0.0155,-0.005684632040965865,-0.08575580522710802,0.0,0.0003148664639292708,0.05758350928221317,0.007390932479999905,2.317535764448648e-35,0.007390932479999905,2.317535764448648e-35,0.007390932479999905,2.317535764448648e-35
0.016,-0.005812614861273227,-0.08737158519621893,0.0,5.589809228604894e-05,0.057922821840159976,0.007860083467499893,2.3175376961649037e-35,0.007860083467499893,2.3175376961649037e-35,0.007860083467499893,2.3175376961649037e-35
0.0165,-0.0059391700892588856,-0.08878108771081143,0.0,7.85965491263461e-06,0.05780304835664026,0.008343669869999884,2.3175389368338963e-35,0.008343669869999884,2.3175389368338963e-35,0.008343669869999884,2.3175389368338963e-35
0.017,-0.006064992796647642,-0.08998665608904478,0.0,0.00016594278621023104,0.0572306454436873,0.008841691687499873,2.317539460807617e-35,0.008841691687499873,2.317539460807617e-35,0.008841691687499873,2.317539460807617e-35
