t,total,PE_grav,PE_contact,KE_slab,PEel_slab,KE_cube0,PEel_cube0,KE_cube1,PEel_cube1,KE_cube2,PEel_cube2
0.0,3.266535280471781,3.2663420288573213,0.0,0.00016638117687740368,5.230301111694085e-06,7.213378823473452e-06,5.0282687940311505e-40,7.213378823555112e-06,5.0282687940311554e-40,7.213378823555112e-06,5.0282687940311554e-40
0.0005,3.2663436455075026,3.265588475690169,1.5407439555097887e-28,0.0006292784909081499,3.9356738972393105e-05,2.8844862484206467e-05,8.047499542086436e-40,2.8844862484369765e-05,8.047499542123858e-40,2.8844862484369765e-05,8.047499542134152e-40
0.001,3.266153805113965,3.264496405933927,6.162975822039155e-28,0.0013343352341623224,0.00012841951013789328,6.488147857890683e-05,7.27498438335403e-40,6.488147857939664e-05,7.274984383363457e-40,6.488147857939664e-05,7.2749843833661065e-40
0.0015,3.265965503045958,3.263094038701558,1.232595164407831e-27,0.0022385757293011646,0.00028695782375095017,0.00011531026378184192,6.857942426533985e-40,0.00011531026378216841,7.910584787366037e-40,0.00011531026378347438,5.86899864429366e-40
0.002,3.2657785438953235,3.2614080092695823,2.7733391199176196e-27,0.003311284881274801,0.0005188949529487293,0.00018011826383809322,6.698790716431923e-40,0.00018011826383890932,9.860761315329988e-29,0.00018011826384054156,9.86076131532656e-29
0.0025,3.2655922433564695,3.259461691548328,3.851859888774472e-27,0.0045245380715477155,0.0008281361359146862,0.00025929253355877306,9.860761315329708e-29,0.00025929253355975226,3.944304526111517e-28,0.00025929253356073146,3.9443045261119077e-28
0.003,3.2654054651138136,3.257274634870974,6.3170502175901336e-27,0.005842834686411432,0.0012295351459816412,0.0003528201368147744,9.860761315329871e-29,0.0003528201368153455,8.874685183742896e-28,0.0003528201368164877,3.9443045261119063e-28
0.0035,3.2652170285841904,3.254862980009321,8.011868568650901e-27,0.0072187739754799906,0.0017532101597993964,0.00046068814652954566,9.860761315329831e-29,0.00046068814652954566,8.874685183742958e-28,0.0004606881465308508,3.9443045261118323e-28
0.004,3.265026135126071,3.2522405855637064,1.0014835710813626e-26,0.008596136528201747,0.0024407621001334306,0.0005828836446760285,9.860761315329726e-29,0.0005828836446760285,8.874685183742983e-28,0.0005828836446774966,3.9443045261118027e-28
0.0045000000000000005,3.264832563234782,3.249420529099478,1.1247430875221457e-26,0.00991718602445151,0.003336666944043772,0.0007193937222695196,9.860761315329648e-29,0.0007193937222687041,8.87468518374299e-28,0.0007193937222703351,3.944304526111799e-28
