t,total,PE_grav,PE_contact,KE_slab,PEel_slab,KE_cube0,PEel_cube0
0.0,0.5001297158854814,0.4999508910286688,0.0,0.00016638117687740362,5.230301111694088e-06,7.213378823473452e-06,5.0282687940311505e-40
0.0005,0.49995253364052356,0.4992550535481588,0.0,0.0006292784909081499,3.9356738972393125e-05,2.8844862484206467e-05,8.047499542152271e-40
0.001,0.4997771805632745,0.4982495443403954,0.0,0.0013343352341623218,0.00012841951013789328,6.488147857890683e-05,7.274984383370671e-40
0.0015,0.49960341768431105,0.49696257386747744,0.0,0.002238575729301162,0.0002869578237509501,0.00011531026378151542,6.6638127278757064e-40
0.002,0.49943106685571675,0.49542076875765556,0.0,0.0033112848812747956,0.000518894952948729,0.00018011826383768515,6.60101105338371e-40
0.0025,0.499259461016604,0.4936474942755838,0.0,0.00452453807154771,0.0008281361359146857,0.00025929253355779386,6.6633938046894685e-40
0.003,0.499087481080564,0.49166229111135845,0.0,0.005842834686411426,0.0012295351459816403,0.00035282013681248994,6.6883352197485466e-40
0.0035,0.49891396367809615,0.4894812913962905,0.0,0.0072187739754799776,0.0017532101597993951,0.00046068814652628265,6.6866510076812946e-40
0.004,0.4987381273658257,0.48711834509281887,0.0,0.008596136528201733,0.0024407621001334293,0.0005828836446716241,6.682897067947003e-40
0.0045000000000000005,0.4985597678217413,0.484586521130983,0.0,0.009917186024451494,0.0033366669440437692,0.0007193937222629956,6.682125223327023e-40
0.005,0.498379180126577,0.4818996465208631,0.0,0.011129673110820217,0.004479655015541778,0.0008702054793518926,6.682418016304924e-40
0.0055,0.4981969294190982,0.479073599612785,0.0,0.012190600203509495,0.005897423577783386,0.0010353060250203455,6.682597922579473e-40
0.006,0.4980136340535873,0.47612716261903976,0.0,0.013066472957259762,0.007605315999913809,0.0012146824773739534,6.682606810867488e-40
0.006500000000000001,0.49782986341703583,0.4730823428682308,0.0,0.013731689977423875,0.009607508607842144,0.0014083219635389994,6.6825853248483525e-40
0.007,0.49764615440408616,0.46996417267245005,0.0,0.01416708439393657,0.011898685718045846,0.0016162116196536953,6.6825784512197625e-40
0.0075,0.4974630825298144,0.4668000788681651,0.0,0.01435974277626157,0.01446492229452326,0.0018383385908644879,6.682579476522086e-40
0.008,0.49728131375614654,0.46361896555136367,0.0,0.014303994049615009,0.01728366412384865,0.002074690031319184,6.6825806592449686e-40
0.0085,0.49710159790932795,0.4604501740401553,0.0,0.014002685492007968,0.020323485273003577,0.002325253104161062,6.682580836893712e-40
0.009000000000000001,0.49692471021014967,0.45732247509990775,0.0,0.013467831523315375,0.023544388605401995,0.00259001498152453,6.682580727246743e-40
0.0095,0.4967513750601533,0.45426321665662117,0.0,0.012720214253353372,0.02689898130565079,0.0028689628445280188,6.682580674638465e-40
