scene,s,arm,iterations,w_r,w_row,L,a_tilde,rho,v,dE_pred,dE_meas,dE_be,modal_ke,modal_pe,reldiff_sym,reldiff_be,sign_agree,sign_agree_be,band,passive_meas,passive_be,n_contacts,n_active_support,valid,runner_gap,preflight_res,preflight_ok,r1_ok,r1_res,e_modal_trail_peak,reason,wall_s
dinner,1e-07,implicit,1,1.0023931314125243,1.15068501419917,0.00010277360795953008,0.000144,8.925576153168157e-05,-1.0,-0.43452377149412436,-0.26731641769588066,-0.4347455262539057,0.22323881141070018,3.6340270446079486e-05,0.384805998583911,0.000510339765805807,,,False,True,True,0,1,True,50.001,3.049318610115481e-20,True,,,0.2222054452413404,,0.0899884169921279
dinner,7.498942093324558e-07,implicit,1,1.0023931314125243,1.1495247216268802,0.0007706933348105562,0.000144,0.000669323787221666,-1.0,-0.4349623655315148,-0.27004646451146996,-0.43536695484311494,0.22042732044219326,0.00023084963597808789,0.37914981637209255,0.0009301708461736586,,,False,True,True,0,1,True,50.001,5.082197683525802e-21,True,,,0.21838477893830027,,0.08960599999409169
dinner,5.623413251903491e-06,implicit,1,1.0023931314125243,1.1456523560551741,0.005779384689455556,0.000144,0.005019220322059961,-1.0,-0.43643256129138835,-0.27729853504136726,-0.4369682908514103,0.21289300774672376,0.0008864778187351002,0.3646245499628836,0.001227519684683364,,,False,True,True,0,1,True,50.001,1.1858461261560205e-20,True,,,0.21166642330477903,,0.08982795791234821
dinner,4.216965034285822e-05,implicit,1,1.0023931314125243,1.1390714448675772,0.04333927112127375,0.000144,0.03763884254876548,-1.0,-0.4389540219483741,-0.2852149190410507,-0.43925037236369313,0.2053806044301904,0.0011027318114400322,0.350239649758591,0.0006751286023161483,,,False,True,True,0,1,True,50.001,1.8634724839594607e-20,True,,,0.20598336970579417,,0.09132133307866752
dinner,0.00031622776601683794,implicit,1,1.0023931314125243,1.131691591565599,0.32499868450532515,0.000144,0.2822515007329529,-1.0,-0.4418164768856709,-0.2972275160410178,-0.44205757180128336,0.19310674101368733,0.002037271569101589,0.3272602277394657,0.0005456901863686272,,,False,True,True,0,1,True,50.001,1.6940658945086007e-21,True,,,0.19412639511854862,,0.0909105830360204
dinner,0.0023713737056616554,implicit,1,1.0023931314125243,1.1122276633760253,2.437146315512091,0.000144,2.116587659750368,-1.0,-0.4495482427610698,-0.33397310584330375,-0.449813291949952,0.15445358147553118,0.00559950611896428,0.2570917332651949,0.000589590089940749,,,False,True,True,0,1,True,50.001,5.082197683525802e-21,True,,,0.15923669899107432,,0.08980108296964318
dinner,0.01778279410038923,implicit,1,1.0023931314125243,1.0804370367073555,18.276019092984473,0.000144,15.872168295913353,-1.0,-0.4627756862578718,-0.3832000986620656,-0.46300258362907964,0.10640331328935211,0.006698835832154503,0.17195282716617138,0.0004902966554760015,,,False,True,True,0,1,True,50.001,5.082197683525802e-21,True,,,0.1125257743085861,,0.09214091708417982
dinner,0.1333521432163324,implicit,1,1.0023931314125243,1.0523464488738756,137.05080887478456,0.000144,119.02447094655615,-1.0,-0.4751286909129826,-0.4238742354335603,-0.47536988544807546,0.06866086668602032,0.005260505354264191,0.10787489044480647,0.0005076404344881639,,,False,True,True,0,1,True,50.001,1.6940658945086007e-21,True,,,0.07316258248643756,,0.09319587494246662
dinner,1.0,implicit,1,1.0023931314125243,1.034081251041841,1027.736079595301,0.000144,892.5576153168158,-1.0,-0.48352099006060023,-0.4489136103447082,-0.4838467260301762,0.04657748758062392,0.002970757590567019,0.07157368641132751,0.0006736749309169471,,,False,True,True,0,1,True,50.001,1.6940658945086007e-21,True,True,0.0,0.048165897272104935,,0.09092695801518857
dinner,1e-07,mass,1,1.0023931314125243,1.1511626872819667,0.00010277360795953008,0.000144,8.925576153168157e-05,-1.0,-0.43430469891138923,-0.2660341846052803,-0.43438811933265686,0.2244719129698356,3.8767656874860356e-05,0.3874480629104154,0.00019207809972291549,True,True,False,,,0,1,True,50.001,3.049318610115481e-20,True,,,0.22336972566384855,,0.09157116594724357
dinner,7.498942093324558e-07,mass,1,1.0023931314125243,1.1511626872819667,0.0007706933348105562,0.000144,0.000669323787221666,-1.0,-0.4340527501542656,-0.26578223584815674,-0.43413617057553333,0.2244719129698356,0.0002907164139984536,0.38767295967207727,0.00019218959271216548,True,True,False,,,0,1,True,50.001,5.082197683525802e-21,True,,,0.2219033727178775,,0.08986625005491078
dinner,5.623413251903491e-06,mass,1,1.0023931314125243,1.1511626872819667,0.005779384689455556,0.000144,0.005019220322059961,-1.0,-0.43216340101411066,-0.26389288670800193,-0.4322468214353785,0.2244719129698356,0.0021800655541533718,0.3893678037317521,0.00019302981481564857,True,True,False,,,0,1,True,50.001,1.1858461261560205e-20,True,,,0.22159307861297217,,0.08985670795664191
dinner,4.216965034285822e-05,mass,1,1.0023931314125243,1.1511626872819667,0.04333927112127375,0.000144,0.03763884254876548,-1.0,-0.41799528121801627,-0.24972476691190737,-0.41807870163928396,0.2244719129698356,0.016348185350247648,0.4025655835534255,0.00019957263877382872,True,True,False,,,0,1,True,50.001,1.8634724839594607e-20,True,,,0.239933970486096,,0.08982395892962813
dinner,0.00031622776601683794,mass,1,1.0023931314125243,1.1511626872819667,0.32499868450532515,0.000144,0.2822515007329529,-1.0,-0.3117493712958183,-0.1434788569897112,-0.3118327917170878,0.2244719129698356,0.122594095272444,0.5397621608880026,0.0002675880978451341,True,True,False,,,0,1,True,50.001,1.6940658945086007e-21,True,,,0.3205334087787072,,0.08940799999982119
dinner,0.0023713737056616554,mass,1,1.0023931314125243,1.1511626872819667,2.437146315512091,0.000144,2.116587659750368,-1.0,0.48498255486332026,0.6532530691694163,0.4848991344420397,0.2244719129698356,0.9193260214315715,0.3469619940319682,0.00017200705560239498,True,True,False,,,0,1,True,50.001,5.082197683525802e-21,True,,,0.9950903831271789,,0.08974824997130781
dinner,0.01778279410038923,mass,1,1.0023931314125243,1.1511626872819667,18.276019092984473,0.000144,15.872168295913353,-1.0,6.459629133033639,6.627899647339651,6.459545712612275,0.2244719129698356,6.893972599601806,0.02604956272884162,1.2914119316379251e-05,True,True,False,,,0,1,True,50.001,5.082197683525802e-21,True,,,6.684605499635768,,0.08956445893272758
dinner,0.1333521432163324,mass,1,1.0023931314125243,1.1511626872819667,137.05080887478456,0.000144,119.02447094655615,-1.0,51.26315785081256,51.43142836511796,51.26307443039058,0.2244719129698356,51.697501317380116,0.003282484368112932,1.6272977607568398e-06,True,True,False,,,0,1,True,50.001,1.6940658945086007e-21,True,,,39.519550224461305,,0.09072916710283607
dinner,1.0,mass,1,1.0023931314125243,1.1511626872819667,1027.736079595301,0.000144,892.5576153168158,-1.0,387.24222528204075,387.41049579634137,387.242141861614,0.2244719129698356,387.67656874860353,0.00043453555246476355,2.1542182460274023e-07,True,True,False,,,0,1,True,50.001,1.6940658945086007e-21,True,True,0.0,245.6990401708543,,0.09042699995916337
