scene,s,arm,w_r,w_row,sum_a,L,a_tilde,rho_BE,rho_mid,dE_meas,injects,BE_index_agrees,mid_index_agrees,BE_false_negative
dinner,1e-07,mass,1.0023931314125243,1.1511626872819667,0.1487695558694424,0.00010277360795953008,0.000144,8.925576153168157e-05,0.2968460022056485,-0.2660341846052803,0,1,1,0
dinner,7.498942093324558e-07,mass,1.0023931314125243,1.1511626872819667,0.1487695558694424,0.0007706933348105562,0.000144,0.000669323787221666,0.2975121359404183,-0.26578223584815674,0,1,1,0
dinner,5.623413251903491e-06,mass,1.0023931314125243,1.1511626872819667,0.1487695558694424,0.005779384689455556,0.000144,0.005019220322059961,0.302507434243867,-0.26389288670800193,0,1,1,0
dinner,4.216965034285822e-05,mass,1.0023931314125243,1.1511626872819667,0.1487695558694424,0.04333927112127375,0.000144,0.03763884254876548,0.33996688696031113,-0.24972476691190737,0,1,1,0
dinner,0.00031622776601683794,mass,1.0023931314125243,1.1511626872819667,0.1487695558694424,0.32499868450532515,0.000144,0.2822515007329529,0.6208731537285553,-0.1434788569897112,0,1,1,0
dinner,0.0023713737056616554,mass,1.0023931314125243,1.1511626872819667,0.1487695558694424,2.437146315512091,0.000144,2.116587659750368,2.727372981875599,0.6532530691694163,1,1,1,0
dinner,0.01778279410038923,mass,1.0023931314125243,1.1511626872819667,0.1487695558694424,18.276019092984473,0.000144,15.872168295913353,18.523893212748412,6.627899647339651,1,1,1,0
dinner,0.1333521432163324,mass,1.0023931314125243,1.1511626872819667,0.1487695558694424,137.05080887478456,0.000144,119.02447094655615,136.98108370009348,51.43142836511796,1,1,1,0
dinner,1.0,mass,1.0023931314125243,1.1511626872819667,0.1487695558694424,1027.736079595301,0.000144,892.5576153168158,1025.284695702611,387.41049579634137,1,1,1,0
ledge,1e-07,mass,0.07514061126615987,0.3413272081974287,0.2661865969312688,0.013838435312738085,0.000144,0.0405088385431028,7.241438228895603,2.018744263290042,1,0,1,1
ledge,7.498942093324558e-07,mass,0.07514061126615987,0.3413272081974287,0.2661865969312688,0.10377362507244066,0.000144,0.30377343450256195,8.43376019068215,2.404392613054135,1,0,1,1
ledge,5.623413251903491e-06,mass,0.07514061126615987,0.3413272081974287,0.2661865969312688,0.7781924052326061,0.000144,2.2779793948250324,17.374913538718605,5.296347256321237,1,1,1,0
ledge,4.216965034285822e-05,mass,0.07514061126615987,0.3413272081974287,0.2661865969312688,5.835619784304271,0.000144,17.082435571579435,84.42410474317894,26.98294766270233,1,1,1,0
ledge,0.00031622776601683794,mass,0.07514061126615987,0.3413272081974287,0.2661865969312688,43.76097484115687,0.000144,128.1001951642218,587.2221069896734,189.609508311223,1,1,1,0
ledge,0.0023713737056616554,mass,0.07514061126615987,0.3413272081974287,0.2661865969312688,328.16101628126836,0.000144,960.6159456800741,4357.675210475408,1409.1366694510139,1,1,1,0
ledge,0.01778279410038923,mass,0.07514061126615987,0.3413272081974287,0.2661865969312688,2460.860458379769,0.000144,7203.603350579086,32632.084699110797,10554.300232074796,1,1,1,0
ledge,0.1333521432163324,mass,0.07514061126615987,0.3413272081974287,0.2661865969312688,18453.850077142015,0.000144,54019.404389271316,244660.24417733398,79133.35222217225,1,1,1,0
ledge,1.0,mass,0.07514061126615987,0.3413272081974287,0.2661865969312688,138384.3531273809,0.000144,405088.3854310281,1834647.134258714,593403.6919110073,1,1,1,0
shelf,1e-07,mass,0.9261105482149443,3.501039611926757,2.5749290637118127,0.0232886503403291,0.000144,0.006651377112213019,5.58414819165247,0.1732176254406479,1,0,1,1
shelf,7.498942093324558e-07,mass,0.9261105482149443,3.501039611926757,2.5749290637118127,0.17464024033381123,0.000144,0.04987829180534977,5.747524516329488,0.17939106524874893,1,0,1,1
shelf,5.623413251903491e-06,mass,0.9261105482149443,3.501039611926757,2.5749290637118127,1.309617049427534,0.000144,0.3740344219622627,6.972674114502631,0.2256853328863233,1,0,1,1
shelf,4.216965034285822e-05,mass,0.9261105482149443,3.501039611926757,2.5749290637118127,9.820742418087642,0.000144,2.804862471205131,16.160000006862887,0.5728433651533624,1,1,1,0
shelf,0.00031622776601683794,mass,0.9261105482149443,3.501039611926757,2.5749290637118127,73.64517870669545,0.000144,21.033501251306504,85.05522486617384,3.1761613463563876,1,1,1,0
shelf,0.0023713737056616554,mass,0.9261105482149443,3.501039611926757,2.5749290637118127,552.2609305740478,0.000144,157.72900790341708,601.6965265927212,22.698292137908457,1,1,1,0
shelf,0.01778279410038923,mass,0.9261105482149443,3.501039611926757,2.5749290637118127,4141.372738780319,0.000144,1182.8006967052563,4475.959731259921,169.09362048206575,1,1,1,0
shelf,0.1333521432163324,mass,0.9261105482149443,3.501039611926757,2.5749290637118127,31055.914354986544,0.000144,8869.75393253666,33528.83515735728,1266.9037104681368,1,1,1,0
shelf,1.0,mass,0.9261105482149443,3.501039611926757,2.5749290637118127,232886.50340329096,0.000144,66513.77112213019,251394.6656222334,9499.318004741106,1,1,1,0
