n_modes,nrows,us_sweep_diag,us_sweep_matched,us_index,us_install_per_substep,us_cholesky_per_substep,us_sweep_dense_Ginv,blocks,ratio_matched_over_diag_min,ratio_matched_over_diag_max,ratio_index_over_diag_min,ratio_index_over_diag_max,ratio_denseGinv_over_diag_min,ratio_denseGinv_over_diag_max
4,1000,1.1415919288992882,1.1416152119636536,1.9831815734505656,1.0070850839838386,1.8408382311463356,10.819329569737116,8,0.9857898413332004,1.0071266601878845,1.71409187053518,1.744753319328588,9.131153346712312,9.7223234531908
8,1000,1.3416167348623276,1.3082055374979973,2.2665830329060555,1.0122900130227208,2.0241597667336464,15.846996878584225,8,0.9811067069444203,1.0063223125694023,1.6501921061823261,1.7052512805817246,11.89728140645011,13.07706773650464
16,1000,2.150004729628563,2.1165935322642326,3.033410757780075,1.0204146383330226,2.393340691924095,29.37500054637591,8,0.9846491462827169,1.00386443435814,1.3839994331065761,1.4582169136063585,11.33467970521542,13.652462532328508
32,1000,3.8582133129239087,3.824988380074501,4.666601307690144,1.0116654448211193,3.691660240292549,30.708305227259793,8,0.8326712054881311,1.0387418509453987,1.0352823261200348,1.535812989405804,6.812153032026216,7.977780454025411
64,1000,4.041590727865696,5.966587923467159,6.991601549088955,1.0254146764054894,8.307499811053276,58.08332934975624,8,1.46616713903774,1.506169163913683,1.7005821066228144,1.7360847072920629,14.218793565531096,14.481150890210829
