M,m,b,order,n,E_plus,dE,D_modal,lam_c,lam_s,Cc,n_conv,converged_flag
1.0,1.0,0.25,A,1,0.225,-0.275,0.10000000000000002,0.0005,0.0001,-9.999999999999999e-05,,False
1.0,1.0,0.25,A,2,0.22224999999999998,-0.27775000000000005,0.121,0.00055,0.00011,-9.999999999999972e-06,,False
1.0,1.0,0.25,A,3,0.2222225,-0.2777775,0.12321,0.000555,0.000111,-9.9999999999997e-07,,False
1.0,1.0,0.25,A,4,0.222222225,-0.277777775,0.12343209999999999,0.0005555,0.00011109999999999999,-1.0000000000005664e-07,,False
1.0,1.0,0.25,A,6,0.2222222222225,-0.2777777777775,0.12345654320999996,0.000555555,0.00011111099999999999,-1.0000000000699553e-09,,False
1.0,1.0,0.25,A,8,0.22222222222222224,-0.2777777777777778,0.123456787654321,0.0005555555500000001,0.00011111111,-9.999999960041972e-12,,False
1.0,1.0,0.25,A,12,0.22222222222222218,-0.2777777777777778,0.12345679012320984,0.000555555555555,0.00011111111111099999,-1.0000680839006293e-15,,False
1.0,1.0,0.25,A,16,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,,False
1.0,1.0,0.25,A,24,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,,False
1.0,1.0,0.25,A,32,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,,False
1.0,1.0,0.25,A,48,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,,False
1.0,1.0,0.25,A,64,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,,False
1.0,1.0,0.25,B,1,0.28125,-0.21875,0.15625,0.0005,0.0,0.0,,False
1.0,1.0,0.25,B,2,0.2278125,-0.2721875,0.12656250000000002,0.00055,0.0001,5.421010862427522e-20,,False
1.0,1.0,0.25,B,3,0.222778125,-0.277221875,0.123765625,0.000555,0.00011,5.421010862427522e-20,,False
1.0,1.0,0.25,B,4,0.22227778124999997,-0.27772221875,0.12348765624999997,0.0005555,0.000111,-5.421010862427522e-20,,False
1.0,1.0,0.25,B,6,0.222222777778125,-0.277777222221875,0.123457098765625,0.000555555,0.00011111,-5.421010862427522e-20,,False
1.0,1.0,0.25,B,8,0.22222222777777778,-0.2777777722222222,0.12345679320987654,0.0005555555500000001,0.0001111111,5.421010862427522e-20,,False
1.0,1.0,0.25,B,12,0.22222222222277774,-0.27777777777722223,0.1234567901237654,0.000555555555555,0.00011111111110999999,-5.421010862427522e-20,,False
1.0,1.0,0.25,B,16,0.22222222222222227,-0.27777777777777773,0.12345679012345684,0.0005555555555555556,0.000111111111111111,5.421010862427522e-20,,False
1.0,1.0,0.25,B,24,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,,False
1.0,1.0,0.25,B,32,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,,False
1.0,1.0,0.25,B,48,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,,False
1.0,1.0,0.25,B,64,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,,False
1.0,1.0,0.25,A,17,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,12,True
1.0,1.0,0.25,B,17,0.2222222222222222,-0.2777777777777778,0.12345679012345678,0.0005555555555555556,0.0001111111111111111,-5.421010862427522e-20,12,True
1.0,1.0,1.0,A,1,0.1875,-0.3125,0.0625,0.0005,0.00025,-0.00025,,False
1.0,1.0,1.0,A,2,0.16796875,-0.33203125,0.09765625,0.000625,0.0003125,-6.25e-05,,False
1.0,1.0,1.0,A,3,0.166748046875,-0.333251953125,0.107666015625,0.00065625,0.000328125,-1.562499999999996e-05,,False
1.0,1.0,1.0,A,4,0.1666717529296875,-0.3333282470703125,0.11024475097656251,0.0006640625,0.00033203125,-3.906249999999949e-06,,False
1.0,1.0,1.0,A,6,0.1666666865348816,-0.3333333134651184,0.1110568642616272,0.00066650390625,0.000333251953125,-2.441406250000273e-07,,False
1.0,1.0,1.0,A,8,0.1666666667442769,-0.3333333332557231,0.1111077202949673,0.000666656494140625,0.0003333282470703125,-1.525878906257286e-08,,False
