t,slab_KE,slab_PE,cube_KE,bystander_KE,total,max_pen
0.032,0.0086650881,0.03401544,0.12781429,0.00066775687,-0.056071704,5.8442573e-07
0.0325,0.0088471981,0.031246548,0.13165968,0.00054604468,-0.056255393,5.2826988e-07
0.033,0.0089919557,0.0284651,0.1355792,0.00044515308,-0.056434254,4.6643537e-07
0.0335,0.009020903,0.025773879,0.13957865,0.00037386942,-0.056609384,4.194259e-07
0.034,0.0088856635,0.023264022,0.14364993,0.00032521989,-0.056780175,3.8490503e-07
0.0345,0.0085633897,0.020993882,0.14779205,0.00029755293,-0.056945142,3.4877647e-07
0.035,0.0080672991,0.01898253,0.15200379,0.00028728069,-0.057102668,3.1509726e-07
0.0355,0.0074368832,0.017216392,0.1562846,0.00029027746,-0.057251695,2.8831233e-07
0.036,0.0067233633,0.015663349,0.16063401,0.00030217566,-0.05739207,2.7208569e-07
0.0365,0.0059760922,0.014287472,0.1650505,0.00031822755,-0.057524497,2.6833554e-07
0.037,0.0052335593,0.01305944,0.16953082,0.00033336259,-0.057650213,2.7685977e-07
0.0375,0.0045201921,0.011960712,0.17407036,0.00034260992,-0.057770561,2.9549898e-07
0.038,0.0038479761,0.010982357,0.17866422,0.0003417911,-0.057886644,3.2067382e-07
0.0385,0.003220754,0.010120965,0.18330863,0.00032824605,-0.057999149,3.481109e-07
0.039,0.002638969,0.0093742459,0.18800196,0.0003013399,-0.058108356,3.7358408e-07
0.0395,0.0021032615,0.0087381241,0.19274499,0.000262584,-0.058214294,3.9353839e-07
0.04,0.001616278,0.0082059368,0.19754057,0.00021533633,-0.058316917,4.0551708e-07
0.0405,0.0011828784,0.007769311,0.20239275,0.0001641704,-0.058416255,4.0836432e-07
0.041,0.00080939235,0.007419799,0.20730587,0.00011407873,-0.058512464,4.0221708e-07
0.0415,0.00050261084,0.0071503711,0.21228391,6.969506e-05,-0.058605821,3.8832801e-07
0.042,0.00026894703,0.0069562626,0.21733007,3.4685614e-05,-0.058696669,3.6877456e-07
0.0425,0.00011386812,0.006835135,0.22244667,1.1395329e-05,-0.058785372,3.4610716e-07
0.043,4.1475946e-05,0.0067868306,0.22763517,7.6142415e-07,-0.058872292,3.2302295e-07
0.0435,5.4065435e-05,0.0068130591,0.23289627,2.458084e-06,-0.058957791,3.0201413e-07
0.044,0.00015162264,0.0069172049,0.23822991,1.5183201e-05,-0.059042244,2.851623e-07
0.0445,0.00033135274,0.0071042363,0.24363526,3.7019367e-05,-0.059126039,2.7393175e-07
0.045,0.00058746251,0.0073805279,0.24911079,6.5773202e-05,-0.059209565,2.6912936e-07
0.0455,0.00091135487,0.0077534118,0.25465431,9.9260329e-05,-0.059293177,2.7087608e-07
0.046,0.0012922812,0.0082303893,0.2602632,0.00013550364,-0.059377162,2.7867313e-07
0.0465,0.0017183155,0.0088181199,0.26593466,0.00017284233,-0.059461706,2.9151661e-07
0.047,0.0021773843,0.0095214527,0.27166605,0.00020996668,-0.059546889,3.0804338e-07
0.0475,0.0026580603,0.010342795,0.27745516,0.00024589924,-0.059632706,3.2669323e-07
0.048,0.0031499216,0.011282025,0.28330039,0.00027994502,-0.059719098,3.4587158e-07
0.0485,0.0036434323,0.01233698,0.28920084,0.00031162962,-0.059805995,3.640984e-07
0.049,0.0041294767,0.013504355,0.29515623,0.00034063912,-0.059893347,3.8013208e-07
0.0495,0.0045987875,0.014780712,0.30116678,0.0003667698,-0.059981139,3.930598e-07
0.05,0.0050415301,0.016163289,0.30723297,0.0003898904,-0.060069382,4.0234964e-07
0.0505,0.005447235,0.017650363,0.31335542,0.00040991635,-0.060158089,4.0786309e-07
0.051,0.0058051432,0.019241066,0.31953468,0.00042679296,-0.06024725,4.0983016e-07
0.0515,0.0061048909,0.020934731,0.32577121,0.00044048414,-0.060336807,4.0879241e-07
0.052,0.0063373628,0.02272996,0.3320653,0.0004509634,-0.06042664,4.0552214e-07
0.0525,0.0064955037,0.024623658,0.3384171,0.00045820519,-0.060516569,4.0092715e-07
0.053,0.0065749083,0.026610264,0.34482661,0.00046217609,-0.060606373,3.9595161e-07
0.0535,0.0065740831,0.028681319,0.35129369,0.00046282664,-0.060695813,3.9148286e-07
0.054,0.0064943673,0.030825412,0.3578181,0.00046008595,-0.060784654,3.8827272e-07
0.0545,0.0063395789,0.033028451,0.3643995,0.00045386143,-0.060872684,3.8687952e-07
0.055,0.0061154999,0.035274147,0.37103745,0.00044404604,-0.060959726,3.8763462e-07
0.0555,0.0058293267,0.037544582,0.37773151,0.00043053443,-0.061045641,3.9063402e-07
0.056,0.0054891845,0.039820742,0.38448128,0.00041324846,-0.061130317,3.9575329e-07
0.0565,0.0051037644,0.042082967,0.39128644,0.00039217035,-0.06121367,4.0268178e-07
0.057,0.0046820972,0.044311272,0.39814688,0.00036738044,-0.061295627,4.1097049e-07
0.0575,0.0042334357,0.046485591,0.40506277,0.00033909472,-0.061376129,4.2008727e-07
0.058,0.003767202,0.048585953,0.41203453,0.00030769618,-0.061455126,4.2947323e-07
0.0585,0.0032929476,0.050592668,0.41906293,0.00027375423,-0.06153258,4.3859449e-07
0.059,0.002820286,0.05248653,0.42614902,0.0002380267,-0.06160847,4.4698501e-07
0.0595,0.0023587751,0.054249077,0.43329404,0.0002014414,-0.0616828,4.5427753e-07
0.06,0.0019177447,0.055862888,0.4404994,0.00016505659,-0.0617556,4.6022123e-07
0.0605,0.0015060817,0.057311909,0.44776656,0.00013000305,-0.061826934,4.6468627e-07
0.061,0.0011319965,0.058581777,0.4550969,9.7413327e-05,-0.061896895,4.6765682e-07
0.0615,0.00080279653,0.059660106,0.46249167,6.8346252e-05,-0.061965606,4.692147e-07
0.062,0.00052469124,0.06053672,0.46995189,4.371549e-05,-0.062033216,4.6951694e-07
0.0625,0.00030264559,0.061203809,0.47747831,2.4230783e-05,-0.062099888,4.6877008e-07
0.063,0.00014028929,0.061656001,0.48507139,1.0358523e-05,-0.062165799,4.6720439e-07
0.0635,3.9879446e-05,0.061890367,0.49273129,2.3054528e-06,-0.062231131,4.6505041e-07
0.064,2.3069784e-06,0.061906363,0.50045787,2.5946896e-08,-0.062296063,4.6251977e-07
0.0645,2.7132431e-05,0.061705737,0.50825079,3.2500458e-06,-0.062360769,4.5979122e-07
0.065,0.00011263738,0.061292412,0.5161095,1.1526921e-05,-0.062425415,4.5700257e-07
0.0655,0.00025588098,0.060672376,0.52403335,2.4276956e-05,-0.062490156,4.5424798e-07
0.066,0.00045275755,0.059853566,0.53202161,4.0845362e-05,-0.062555136,4.5158e-07
0.0665,0.00069805798,0.058845766,0.54007352,6.0551048e-05,-0.062620486,4.4901516e-07
0.067,0.0009855431,0.0576605,0.54818837,8.2726051e-05,-0.062686321,4.4654182e-07
0.0675,0.0013080403,0.056310905,0.55636547,0.00010674283,-0.062752742,4.4412894e-07
0.068,0.001657573,0.054811586,0.56460418,0.0001320287,-0.06281983,4.4173469e-07
0.0685,0.0020255301,0.053178421,0.57290393,0.00015806853,-0.062887646,4.3931392e-07
0.069,0.0024028731,0.051428335,0.5812642,0.00018439795,-0.062956226,4.3682393e-07
0.0695,0.0027803765,0.049579029,0.5896845,0.00021059026,-0.063025584,4.3422833e-07
