t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0.021,-0.007109168,0.006317845,0.039839755,0.040036624,0,nan,0.006317845,0.013345541,0.013345541,0.013345541
0.0215,-0.0072484672,0.0072281129,0.036734709,0.041920445,0,nan,0.0072281129,0.013973482,0.013973482,0.013973482
0.022,-0.007389599,0.008056742,0.033594379,0.043847573,0,nan,0.008056742,0.014615858,0.014615858,0.014615858
0.0225,-0.007532233,0.0087750348,0.030467921,0.045818007,0,nan,0.0087750348,0.015272669,0.015272669,0.015272669
0.023,-0.0076759545,0.0093586861,0.027400702,0.047831748,0,nan,0.0093586861,0.015943916,0.015943916,0.015943916
0.0235,-0.0078202809,0.0097885307,0.02443339,0.049888794,0,nan,0.0097885307,0.016629598,0.016629598,0.016629598
0.024,-0.0079646802,0.010051099,0.021601231,0.051989147,0,nan,0.010051099,0.017329716,0.017329716,0.017329716
0.0245,-0.0081085907,0.010138964,0.01893353,0.054132806,0,nan,0.010138964,0.018044269,0.018044269,0.018044269
0.025,-0.0082514412,0.010050875,0.016453343,0.056319772,0,nan,0.010050875,0.018773257,0.018773257,0.018773257
0.0255,-0.0083926716,0.0097916672,0.014177371,0.058550043,0,nan,0.0097916672,0.019516681,0.019516681,0.019516681
0.026,-0.0085317522,0.0093719765,0.012116059,0.060823621,0,nan,0.0093719765,0.02027454,0.02027454,0.02027454
0.0265,-0.0086682014,0.0088077498,0.01027388,0.063140505,0,nan,0.0088077498,0.021046835,0.021046835,0.021046835
0.027,-0.0088016018,0.0081195902,0.0086498023,0.065500696,0,nan,0.0081195902,0.021833565,0.021833565,0.021833565
0.0275,-0.0089316135,0.0073319545,0.0072378955,0.067904192,0,nan,0.0073319545,0.022634731,0.022634731,0.022634731
0.028,-0.0090579847,0.0064722341,0.006028079,0.070350995,0,nan,0.0064722341,0.023450332,0.023450332,0.023450332
0.0285,-0.0091805587,0.0055697545,0.0050069625,0.072841104,0,nan,0.0055697545,0.024280368,0.024280368,0.024280368
0.029,-0.0092992778,0.0046547275,0.0041587562,0.075374519,0,nan,0.0046547275,0.02512484,0.02512484,0.02512484
0.0295,-0.0094141837,0.0037571952,0.0034662117,0.077951241,0,nan,0.0037571952,0.025983747,0.025983747,0.025983747
0.03,-0.0095254145,0.0029060008,0.0029115588,0.080571269,0,nan,0.0029060008,0.02685709,0.02685709,0.02685709
0.0305,-0.009633198,0.0021278217,0.0024774031,0.083234603,0,nan,0.0021278217,0.027744868,0.027744868,0.027744868
0.031,-0.0097378426,0.0014462981,0.0021475491,0.085941243,0,nan,0.0014462981,0.028647081,0.028647081,0.028647081
