t,slab_KE,slab_PE,cube_KE,bystander_KE,total,max_pen
0.0325,0.0091372988,0.032011715,0.13164518,0.00064048916,-0.053679358,4.6408787e-07
0.033,0.0093902511,0.029183244,0.13554519,0.00052741588,-0.053882935,5.1900596e-07
0.0335,0.0095692143,0.026397434,0.13955143,0.00043155147,-0.054082765,7.2715093e-07
0.034,0.0096014886,0.023751561,0.14366831,0.00035730918,-0.054279083,1.1924391e-06
0.0345,0.0094392212,0.021320783,0.14789791,0.00030678082,-0.054470893,1.9021316e-06
0.035,0.0090692375,0.019146762,0.15223939,0.00027910329,-0.054656659,2.7595631e-06
0.0355,0.0085113941,0.017236922,0.15668981,0.00027134657,-0.05483495,3.6187977e-06
0.036,0.0078091801,0.015571818,0.1612451,0.00027943752,-0.055004892,4.3384747e-06
0.0365,0.0070171909,0.014116599,0.16590032,0.00029845325,-0.055166345,4.8197115e-06
0.037,0.00616415,0.012841002,0.17051105,0.00032400377,-0.055442788,8.3630869e-06
0.0375,0.005294671,0.011731807,0.17500552,0.00035138905,-0.055737868,2.3120732e-05
0.038,0.0044325992,0.010801924,0.17931821,0.00037460519,-0.056172692,2.9220751e-05
0.0385,0.0036160271,0.010061166,0.18365251,0.00038333639,-0.056538562,2.8928382e-05
0.039,0.0028630066,0.0094887038,0.18816256,0.00036622553,-0.056839498,3.0079312e-05
0.0395,0.0021882593,0.0090284056,0.19285893,0.00031904363,-0.057086317,2.8891898e-05
0.04,0.0016160601,0.0086120783,0.19768705,0.00024937881,-0.057298406,2.5079908e-05
0.0405,0.0011631015,0.0081911463,0.20258941,0.00017584887,-0.05749077,2.0169989e-05
0.041,0.0008314132,0.0077540896,0.20752989,0.00011182824,-0.05766945,1.5097804e-05
0.0415,0.00060550278,0.0073239107,0.21249896,6.2216779e-05,-0.057835585,1.0443427e-05
0.042,0.00045829953,0.00694252,0.21750607,2.7044328e-05,-0.057989826,6.5594651e-06
0.0425,0.00036165063,0.0066524506,0.22257008,6.3174071e-06,-0.058133359,3.6232651e-06
0.043,0.00029804624,0.0064836912,0.22770902,1.9086655e-08,-0.058267699,2.5119762e-06
0.0435,0.00027157267,0.0064480106,0.23293072,3.6375736e-06,-0.058393764,2.7957047e-06
0.044,0.00030279177,0.0065402157,0.23823607,1.2507956e-05,-0.058512383,3.212048e-06
0.0445,0.00041568204,0.0067449421,0.24362449,2.5972642e-05,-0.058624646,3.6412421e-06
0.045,0.00062665404,0.0070465784,0.24909446,4.5703494e-05,-0.058732035,4.0256605e-06
0.0455,0.00093820972,0.0074376838,0.25464306,7.340113e-05,-0.058836215,4.3629562e-06
0.046,0.0013378236,0.0079222366,0.26026575,0.00010943101,-0.058938732,4.6866405e-06
0.0465,0.0018018951,0.0085129653,0.26595668,0.00015249372,-0.059040705,5.0423914e-06
0.047,0.0023027757,0.0092248673,0.27170961,0.00020018744,-0.059142657,5.4676954e-06
0.0475,0.0028158463,0.010068417,0.277519,0.00024988581,-0.059244565,6.356201e-06
0.048,0.0033239886,0.011045509,0.2833809,0.00029933731,-0.059346083,7.3481922e-06
0.0485,0.0038182888,0.01214943,0.28929316,0.00034679033,-0.059446812,8.2230197e-06
0.049,0.0042955703,0.013368148,0.29525519,0.00039081927,-0.059546513,8.9424059e-06
0.0495,0.0047544917,0.01468898,0.30126748,0.00043012403,-0.059645189,9.4746213e-06
0.05,0.0051920831,0.016102544,0.30733113,0.00046346746,-0.059743043,9.7978376e-06
0.0505,0.0056019086,0.017604731,0.31344737,0.00048976573,-0.059840375,9.9032615e-06
0.051,0.0059740807,0.019196441,0.31961731,0.0005082553,-0.05993746,9.7975469e-06
0.0515,0.0062966083,0.020881712,0.32584186,0.00051864346,-0.060034466,9.5039571e-06
0.052,0.0065572757,0.022665162,0.33212178,0.00052117935,-0.060131418,9.0927133e-06
0.0525,0.0067453656,0.024549613,0.33845785,0.00051662533,-0.060228207,8.7666946e-06
