solver,E0,E_end,dissipated_J,max_step_rise_J,t_max_rise_s,n_violations,contact_E_peak_J,PASS
AVBD,107.9994622873644,-15.323880458542531,123.32334274590693,-1.6097527346659035e-05,0.9570000000000001,0,0.028118726241391747,True
XPBD,107.99946182281609,-15.151853214873805,123.1513150376899,-0.00026491855219212823,0.9965,0,18.102218183975978,True
GT,107.99946183105654,-15.270120794222164,123.2695826252787,-5.4245401416963546e-05,0.9745,0,18.235996753368834,True
SPLIT,107.6880505195324,87.4970461143528,20.191004405179598,-7.217875845810795e-05,0.9995,0,1.7427831218623895,True
