t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4,KE_body5,KE_body6,KE_body7,KE_body8
0.0165,107.98322,7.3784721e-06,0.25731147,0.00016975891,0.006165791,0.0061529548,0.0061488841,0.0067818766,0.00011527892,0.00011273408,114.08716
0.017,107.98276,7.0708837e-06,0.26569646,0.00018874774,0.0064415531,0.0064561331,0.0064605954,0.0070696341,0.00012408305,0.00012074316,114.26872
0.0175,107.98231,6.7292465e-06,0.2737209,0.00020644402,0.0067143862,0.0067506626,0.0067618887,0.0073552854,0.0001359866,0.00013201738,114.45042
0.018,107.98185,6.3821389e-06,0.28137518,0.00022261084,0.0069790962,0.0070294053,0.0070450323,0.0076479872,0.00015135066,0.00014703164,114.63227
0.0185,107.9814,6.0604865e-06,0.2886421,0.00023759587,0.0072321209,0.0072885011,0.0073060761,0.0079538871,0.00017036054,0.00016606899,114.81426
0.019,107.98094,5.8013442e-06,0.29549851,0.00025220778,0.0074716019,0.0075271298,0.0075444952,0.0082746074,0.00019296088,0.00018913708,114.9964
0.0195,107.98049,6.278815e-06,0.30191756,0.00026748692,0.0076970754,0.0077467768,0.0077623468,0.0086068134,0.00021880031,0.00021589519,115.17868
0.02,107.98004,6.6836281e-06,0.30787122,0.00028444421,0.0079089626,0.0079502402,0.007963154,0.0089427444,0.00024720636,0.00024561864,115.36111
0.0205,107.97959,7.014801e-06,0.31333241,0.00030382584,0.0081080376,0.0081406205,0.0081507525,0.0092715218,0.00027720677,0.00027722259,115.54368
0.021,107.97915,7.2868844e-06,0.31827656,0.00032593345,0.0082949918,0.0083204868,0.0083283218,0.0095809725,0.00030760175,0.00030935086,115.7264
0.0215,107.9787,7.523564e-06,0.3226822,0.00035051142,0.0084701422,0.0084913357,0.0084977498,0.0098596043,0.00033707635,0.00034051598,115.90925
0.022,107.97825,7.7511435e-06,0.32653095,0.00037671206,0.0086332923,0.0086533764,0.0086593855,0.010098323,0.00036433063,0.00036926041,116.09226
0.0225,107.97781,7.9930991e-06,0.32980707,0.00040315312,0.0087837228,0.0088056088,0.0088121443,0.010291538,0.00038820113,0.00039430447,116.27541
0.023,107.97736,8.2664557e-06,0.33249712,0.0004280766,0.0089202817,0.0089461155,0.0089538658,0.010437469,0.00040775255,0.00041465291,116.4587
0.0235,107.97692,8.5802485e-06,0.33458977,0.00044959608,0.009041533,0.0090724645,0.0090818009,0.010537694,0.00042232826,0.00042964653,116.64214
0.024,107.97648,8.9358909e-06,0.33607612,0.00046599025,0.009145922,0.009182121,0.0091931027,0.010596143,0.00043156091,0.00043896124,116.82572
0.0245,107.97604,9.3289518e-06,0.33695032,0.00047597845,0.0092319202,0.0092727844,0.0092852257,0.010617866,0.00043535218,0.00044256885,117.00944
0.025,107.9756,9.7516819e-06,0.33721023,0.0004789133,0.0092981246,0.0093425989,0.0093561699,0.010607866,0.00043383551,0.00044067909,117.19331
0.0255,107.97516,1.0195616e-05,0.33685801,0.00047484788,0.0093433035,0.00939022,0.0094045554,0.010570244,0.00042733365,0.00043368049,117.37733
0.026,107.97472,1.0653692e-05,0.33590031,0.00046447121,0.0093663937,0.0094147589,0.009429548,0.010507742,0.00041631959,0.00042209174,117.56149
0.0265,107.97428,1.1121536e-05,0.334348,0.00044894129,0.0093664715,0.0094156463,0.0094306901,0.010421695,0.00040138358,0.00040652739,117.74579
