t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4,KE_body5,KE_body6,KE_body7,KE_body8
0.019,107.97414,1.3658134e-07,0.28814098,0.00023875601,0.0072242092,0.0072297356,0.0072292443,0.0081080592,0.00020370881,0.00020298034,114.9964
0.0195,107.97328,1.4123303e-07,0.29422376,0.00026130008,0.0074348548,0.0074410284,0.0074404779,0.0084041968,0.00022691335,0.00022651341,115.17868
0.02,107.97241,1.4661401e-07,0.29983748,0.00028531049,0.0076371902,0.0076444678,0.0076437423,0.0086885267,0.00025101426,0.00025097579,115.36111
0.0205,107.97153,1.5270357e-07,0.3049651,0.00031011808,0.0078296208,0.0078381795,0.0078372183,0.008956804,0.00027529238,0.00027563185,115.54368
0.021,107.97065,1.5938423e-07,0.30958822,0.00033487451,0.008010728,0.0080205004,0.0080192961,0.009205242,0.00029897034,0.00029968823,115.7264
0.0215,107.96977,1.6650211e-07,0.31368746,0.00035862672,0.0081793139,0.0081900781,0.0081886624,0.0094306029,0.0003212565,0.00032233794,115.90925
0.022,107.96887,1.7391999e-07,0.31724353,0.000380408,0.0083343693,0.0083458548,0.0083442795,0.009630205,0.00034139145,0.00034280704,116.09226
0.0225,107.96798,1.8155235e-07,0.32023851,0.00039933159,0.0084749909,0.0084869698,0.0084852885,0.0098018781,0.00035869332,0.00036040027,116.27541
0.023,107.96708,1.893786e-07,0.32265714,0.00041467259,0.0086002798,0.0086126246,0.0086108792,0.0099439006,0.000372598,0.0003745418,116.4587
0.0235,107.96618,1.9743685e-07,0.324488,0.00042592668,0.0087092526,0.0087219544,0.0087201687,0.010054943,0.00038269085,0.00038480766,116.64214
0.024,107.96528,2.058039e-07,0.32572429,0.00043283914,0.0088007909,0.0088139425,0.0088121219,0.010134036,0.00038872723,0.00039094703,116.82572
0.0245,107.96437,2.1456893e-07,0.32636414,0.00043540348,0.0088736386,0.0088873939,0.0088855296,0.010180563,0.00039064035,0.00039289075,117.00944
0.025,107.96347,2.2380742e-07,0.32641046,0.00043383396,0.0089264481,0.0089409709,0.0089390475,0.010194276,0.0003885364,0.00039074663,117.19331
0.0255,107.96257,2.3356057e-07,0.32587038,0.00042851934,0.0089578651,0.0089732811,0.0089712841,0.010175326,0.00038267792,0.00038478279,117.37733
0.026,107.96168,2.438229e-07,0.32475443,0.0004199671,0.0089666364,0.0089829972,0.0089809192,0.010124282,0.00037345779,0.00037540106,117.56149
0.0265,107.96078,2.545388e-07,0.32307552,0.00040874645,0.0089517234,0.0089689873,0.0089668317,0.010042151,0.00036136676,0.0003631037,117.74579
0.027,107.95989,2.6560706e-07,0.32084788,0.00039543733,0.008912403,0.0089304337,0.0089282161,0.0099303685,0.00034695789,0.00034845673,117.93024
0.0275,107.95901,2.7689117e-07,0.31808622,0.00038058989,0.008848345,0.0088669251,0.0088646721,0.0097907721,0.00033081106,0.00033205344,118.11483
0.028,107.95813,2.8823308e-07,0.3148049,0.00036469669,0.0087596566,0.0087785111,0.0087762573,0.0096255517,0.00031350048,0.0003144808,118.29956
0.0285,107.95726,2.994678e-07,0.31101753,0.00034817764,0.0086468911,0.0086657164,0.0086635003,0.0094371822,0.00029556717,0.00029629121,118.48444
0.029,107.9564,3.1043704e-07,0.3067367,0.0003313761,0.0085110241,0.0085295163,0.0085273766,0.0092283432,0.00027749788,0.00027798085,118.66947
0.0295,107.95554,3.210003e-07,0.30197406,0.00031456357,0.0083534016,0.0083712818,0.0083692533,0.0090018337,0.00025971093,0.00025997512,118.85464
0.03,107.95469,3.3104275e-07,0.29674066,0.00029794997,0.00817567,0.0081927023,0.0081908135,0.0087604862,0.00024254869,0.00024262119,119.03995
0.0305,107.95385,3.4047968e-07,0.29104741,0.00028169654,0.0079796937,0.0079956976,0.0079939687,0.008507085,0.00022627616,0.00022618659,119.22541
0.031,107.95302,3.4925766e-07,0.28490572,0.00026592903,0.007767473,0.0077823271,0.0077807698,0.008244295,0.00021108423,0.00021086285,119.41101
0.0315,107.9522,3.5735301e-07,0.27832822,0.00025074904,0.0075410655,0.0075547066,0.0075533242,0.0079745999,0.0001970966,0.0001967727,119.59676
0.032,107.95139,3.6476818e-07,0.27132942,0.00023624259,0.0073025188,0.0073149356,0.007313724,0.0077002552,0.00018437873,0.0001839795,119.78265
0.0325,107.95059,3.715268e-07,0.26392638,0.00022248522,0.0070538172,0.0070650406,0.0070639901,0.0074232542,0.00017294783,0.00017249762,119.96868
0.033,107.94981,3.776681e-07,0.25613913,0.00020954393,0.0067968418,0.006806935,0.0068060318,0.0071453072,0.00016278277,0.00016230271,120.15486
0.0335,107.94903,3.8324133e-07,0.24799103,0.00019747635,0.0065333472,0.0065423941,0.0065416221,0.0068678348,0.00015383321,0.00015334116,120.34119
0.034,107.94827,3.8830062e-07,0.23950887,0.00018632819,0.0062649486,0.0062730446,0.0062723866,0.006591972,0.00014602743,0.00014553817,120.52766
0.0345,107.94753,3.9290073e-07,0.2307228,0.0001761298,0.0059931212,0.0060003643,0.0059998034,0.0063185827,0.0001392787,0.00013880428,120.71427
0.035,107.94679,3.9709392e-07,0.22166604,0.00016689267,0.0057192052,0.0057256897,0.0057252103,0.0060482826,0.00013349005,0.0001330402,120.90102
0.0355,107.94607,4.0092788e-07,0.21237449,0.00015860666,0.005444416,0.0054502286,0.0054498168,0.0057814686,0.00012855767,0.00012814031,121.08793
0.036,107.94537,4.0444487e-07,0.20288613,0.00015123823,0.0051698564,0.005175074,0.0051747176,0.0055183523,0.00012437305,0.00012399467,121.27497
0.0365,107.94468,4.0768182e-07,0.19324049,0.00014472981,0.0048965283,0.0049012173,0.0049009062,0.0052589959,0.00012082423,0.0001204903,121.46216
0.037,107.94401,4.106711e-07,0.18347794,0.00013900048,0.0046253431,0.0046295609,0.0046292865,0.0050033489,0.00011779645,0.00011751166,121.6495
0.0375,107.94335,4.1344187e-07,0.17363915,0.00013394763,0.0043571306,0.0043609267,0.0043606818,0.0047512832,0.00011517258,0.000114941,121.83697
0.038,107.9427,4.1602152e-07,0.16376453,0.00012944968,0.0040926446,0.004096063,0.0040958415,0.0045026271,0.00011283356,0.00011265862,122.0246
0.0385,107.94207,4.1843715e-07,0.15389377,0.00012536977,0.0038325681,0.0038356492,0.0038354456,0.0042571951,0.0001106592,0.00011054364,122.21237
0.039,107.94146,4.207166e-07,0.14406554,0.00012156026,0.0035775163,0.0035802987,0.003580108,0.0040148151,0.00010852955,0.00010847524,122.40028
0.0395,107.94086,4.2288916e-07,0.13431728,0.00011786827,0.0033280402,0.0033305615,0.0033303792,0.0037753519,0.00010632702,0.00010633466,122.58833
0.04,107.94028,4.2498568e-07,0.12468508,0.00011414195,0.0030846301,0.0030869277,0.0030867495,0.0035387261,0.00010393916,0.00010400809,122.77653
0.0405,107.93971,4.2703815e-07,0.11520373,0.00011023745,0.0028477215,0.0028498315,0.0028496537,0.0033049306,0.00010126216,0.00010139009,122.96488
0.041,76.653679,0.00013034531,5.7700851,0.00025348898,0.003308355,0.0031128214,0.003119591,0.0034967838,0.00061357586,0.00016915242,85.864102
0.0415,61.046497,0.00018164795,26.404745,0.0028558748,0.0036527621,0.00344597,0.0034525105,0.0039469924,0.0053343884,0.0031154241,47.391472
0.042,59.601908,5.0626935e-05,27.261852,0.0051413531,0.0039900544,0.0037917006,0.0038011575,0.0044157745,0.0085953655,0.0076102988,41.143569
0.0425,58.200598,1.5463359e-05,25.101087,0.0078739342,0.004351641,0.004155375,0.0041666197,0.0049060776,0.010334329,0.010742154,37.477707
0.043,56.948739,2.2846866e-05,24.665757,0.010008643,0.0047400349,0.0045399377,0.0045469108,0.0054241666,0.010929802,0.011698143,32.530445
0.0435,55.811677,2.7652797e-05,25.197263,0.0096433698,0.0051483431,0.0049420864,0.0049440346,0.0059716392,0.010412979,0.011185162,27.430661
0.044,54.750601,3.1901756e-05,26.176812,0.009006144,0.0055732791,0.0053595648,0.005359506,0.0065470792,0.0094132434,0.010490264,22.74795
0.0445,53.738047,3.1997895e-05,27.270765,0.0083132312,0.0060147272,0.0057935249,0.0057921032,0.0071491129,0.0085423833,0.0098263309,18.637849
0.045,52.761882,2.9917228e-05,28.175446,0.007696798,0.0064730732,0.0062436641,0.0062422072,0.0077773682,0.0079174477,0.0092228505,15.140916
0.0455,51.821532,2.7237716e-05,28.69623,0.0071520971,0.0069483842,0.0067106639,0.0067091586,0.0084320061,0.0073969381,0.0086551141,12.237176
0.046,50.92297,2.4557533e-05,28.80458,0.0066403506,0.0074405835,0.0071945135,0.0071929547,0.0091131819,0.0068941761,0.0081061893,9.8677742
0.0465,50.073232,2.1959547e-05,28.630067,0.0061448767,0.0079496244,0.007695205,0.0076935926,0.0098209054,0.0063998314,0.0075736296,7.9563964
0.047,49.276248,1.9472886e-05,28.406281,0.0056662699,0.0084755019,0.0082127371,0.0082110716,0.010555125,0.0059235982,0.0070590289,6.4242651
0.0475,48.530825,1.7198118e-05,28.395484,0.0052074728,0.0090182208,0.0087471104,0.0087453919,0.011315808,0.005468651,0.0065630121,5.1982326
0.048,47.830697,1.5247589e-05,28.815516,0.0047689946,0.0095777826,0.0092983253,0.0092965535,0.012102949,0.005033377,0.0060853371,4.2142
0.0485,47.166053,1.3679963e-05,29.786385,0.0043501889,0.010154186,0.0098663816,0.0098645565,0.012916555,0.0046163031,0.0056257478,3.4180188
