t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0.021,-0.0064099532,0.0068168078,0.04041483,0.040036624,0,nan,0.0068168078,0.013345541,0.013345541,0.013345541
0.0215,-0.0065332447,0.0078045499,0.037166857,0.041920445,0,nan,0.0078045499,0.013973482,0.013973482,0.013973482
0.022,-0.0066556537,0.0087062443,0.033885711,0.043847573,0,nan,0.0087062443,0.014615858,0.014615858,0.014615858
0.0225,-0.006777188,0.0094905959,0.030623367,0.045818007,0,nan,0.0094905959,0.015272669,0.015272669,0.015272669
0.023,-0.0068978555,0.010130895,0.027427757,0.047831748,0,nan,0.010130895,0.015943916,0.015943916,0.015943916
0.0235,-0.007017664,0.010605867,0.0243418,0.049888794,0,nan,0.010605867,0.016629598,0.016629598,0.016629598
0.024,-0.0071366209,0.010900314,0.021402623,0.051989147,0,nan,0.010900314,0.017329716,0.017329716,0.017329716
0.0245,-0.0072547339,0.01100554,0.018641004,0.054132806,0,nan,0.01100554,0.018044269,0.018044269,0.018044269
0.025,-0.0073720104,0.010919534,0.016081037,0.056319772,0,nan,0.010919534,0.018773257,0.018773257,0.018773257
0.0255,-0.0074884577,0.01064692,0.013740005,0.058550043,0,nan,0.01064692,0.019516681,0.019516681,0.019516681
0.026,-0.007604083,0.010198679,0.011628472,0.060823621,0,nan,0.010198679,0.02027454,0.02027454,0.02027454
0.0265,-0.0077188936,0.0095916645,0.0097505725,0.063140505,0,nan,0.0095916645,0.021046835,0.021046835,0.021046835
0.027,-0.0078328965,0.0088479147,0.0081044855,0.065500696,0,nan,0.0088479147,0.021833565,0.021833565,0.021833565
0.0275,-0.0079460988,0.0079938128,0.0066830803,0.067904192,0,nan,0.0079938128,0.022634731,0.022634731,0.022634731
0.028,-0.0080585075,0.0070591013,0.0054747095,0.070350995,0,nan,0.0070591013,0.023450332,0.023450332,0.023450332
0.0285,-0.0081701295,0.0060758011,0.0044641189,0.072841104,0,nan,0.0060758011,0.024280368,0.024280368,0.024280368
0.029,-0.0082809716,0.0050770678,0.0036334407,0.075374519,0,nan,0.0050770678,0.02512484,0.02512484,0.02512484
0.0295,-0.0083910406,0.0040960297,0.0029632309,0.077951241,0,nan,0.0040960297,0.025983747,0.025983747,0.025983747
0.03,-0.0085003432,0.0031646463,0.0024335092,0.080571269,0,nan,0.0031646463,0.02685709,0.02685709,0.02685709
0.0305,-0.0086088861,0.0023126281,0.0020247614,0.083234603,0,nan,0.0023126281,0.027744868,0.027744868,0.027744868
0.031,-0.0087166759,0.0015664526,0.001718866,0.085941243,0,nan,0.0015664526,0.028647081,0.028647081,0.028647081
0.0315,-0.0088237192,0.00094850873,0.00149991,0.08869119,0,nan,0.00094850873,0.02956373,0.02956373,0.02956373
0.032,-0.0089300224,0.00047639639,0.001354864,0.091484443,0,nan,0.00047639639,0.030494814,0.030494814,0.030494814
0.0325,-0.009035592,0.00016240302,0.0012740942,0.094321002,0,nan,0.00016240302,0.031440334,0.031440334,0.031440334
0.033,-0.0091404344,1.3171624e-05,0.0012516928,0.097200867,0,nan,1.3171624e-05,0.032400289,0.032400289,0.032400289
0.0335,-0.0092445558,2.9569083e-05,0.001285622,0.10012404,0,nan,2.9569083e-05,0.033374679,0.033374679,0.033374679
0.034,-0.0093479626,0.00020675577,0.001377666,0.10309052,0,nan,0.00020675577,0.034363505,0.034363505,0.034363505
0.0345,-0.009450661,0.00053445063,0.0015332028,0.1061003,0,nan,0.00053445063,0.035366767,0.035366767,0.035366767
0.035,-0.009552657,0.00099737921,0.0017608057,0.10915339,0,nan,0.00099737921,0.036384464,0.036384464,0.036384464
0.0355,-0.009653957,0.0015758858,0.0020716968,0.11224979,0,nan,0.0015758858,0.037416596,0.037416596,0.037416596
0.036,-0.0097545667,0.0022466857,0.0024790757,0.11538949,0,nan,0.0022466857,0.038463163,0.038463163,0.038463163
0.0365,-0.0098544924,0.0029837298,0.0029973521,0.1185725,0,nan,0.0029837298,0.039524166,0.039524166,0.039524166
0.037,-0.0099537398,0.003759149,0.0036413139,0.12179881,0,nan,0.003759149,0.040599605,0.040599605,0.040599605
0.0375,-0.010052315,0.0045442452,0.0044252623,0.12506844,0,nan,0.0045442452,0.041689479,0.041689479,0.041689479
0.038,-0.010150223,0.0053104937,0.0053621484,0.12838136,0,nan,0.0053104937,0.042793788,0.042793788,0.042793788
0.0385,-0.010247471,0.0060305225,0.0064627428,0.1317376,0,nan,0.0060305225,0.043912532,0.043912532,0.043912532
0.039,-0.010344064,0.006679035,0.0077348701,0.13513714,0,nan,0.006679035,0.045045713,0.045045713,0.045045713
0.0395,-0.010440008,0.0072336453,0.0091827364,0.13857998,0,nan,0.0072336453,0.046193328,0.046193328,0.046193328
0.04,-0.010535308,0.0076755985,0.010806376,0.14206614,0,nan,0.0076755985,0.047355379,0.047355379,0.047355379
0.0405,-0.010629969,0.0079903538,0.012601235,0.1455956,0,nan,0.0079903538,0.048531865,0.048531865,0.048531865
0.041,-0.010723998,0.0081680128,0.014557916,0.14916836,0,nan,0.0081680128,0.049722787,0.049722787,0.049722787
0.0415,-0.0108174,0.0082035798,0.016662082,0.15278443,0,nan,0.0082035798,0.050928144,0.050928144,0.050928144
0.042,-0.01091018,0.0080970491,0.018894537,0.15644381,0,nan,0.0080970491,0.052147937,0.052147937,0.052147937
0.0425,-0.011002344,0.0078533194,0.021231474,0.16014649,0,nan,0.0078533194,0.053382165,0.053382165,0.053382165
0.043,-0.011093897,0.0074819399,0.023644889,0.16389248,0,nan,0.0074819399,0.054630828,0.054630828,0.054630828
0.0435,-0.011184844,0.0069967016,0.026103144,0.16768178,0,nan,0.0069967016,0.055893927,0.055893927,0.055893927
