t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4,KE_body5,KE_body6,KE_body7,KE_body8
0.019,107.67602,0,0,5.7833248e-05,0.012807822,0.012807822,0.012807822,0.020126577,9.2427109e-05,0.00016837295,114.9964
0.0195,107.67589,0,0,0.00011463086,0.013473054,0.013473054,0.013473054,0.021171942,4.3635006e-05,9.9435709e-05,115.17868
0.02,107.67532,3.5282932e-06,0,0.00019067491,0.014155127,0.014155127,0.014155127,0.021567989,1.2974028e-05,4.8553435e-05,115.36111
0.0205,107.67471,8.6125657e-06,0,0.00028596936,0.014854042,0.014854042,0.014854042,0.021028512,3.6614588e-07,1.5716785e-05,115.54368
0.021,107.67412,1.3532375e-05,0,0.00040051293,0.015569798,0.015569798,0.015569798,0.019631808,5.7943053e-06,9.2352444e-07,115.7264
0.0215,107.67352,1.8133488e-05,0,0.00053430399,0.016302395,0.016302395,0.016302395,0.0175136,2.9265043e-05,4.174312e-06,115.90925
0.022,107.67291,2.2135085e-05,0,0.00060619106,0.017051834,0.017051834,0.017051834,0.01489047,7.0782363e-05,2.546961e-05,116.09226
0.0225,107.67231,2.5550661e-05,0,0.00055679024,0.017816172,0.017817208,0.017817486,0.011996523,0.00013034559,6.4809363e-05,116.27541
0.023,107.67148,2.6079804e-05,0,0.00056596204,0.017953332,0.01832796,0.018433413,0.0093486095,0.00020795341,0.00012219343,116.4587
0.0235,107.67068,2.6072848e-05,0,0.00061223791,0.017771565,0.018454696,0.018690453,0.0070326619,0.00030360537,0.00019762174,116.64214
0.024,107.66989,2.5616595e-05,0,0.0006717214,0.017375611,0.018186813,0.01848493,0.0050915801,0.00041730155,0.00029109433,116.82572
0.0245,107.66911,2.4737026e-05,0,0.00072387224,0.016740601,0.017547907,0.017834678,0.0035332159,0.00054904203,0.00040261118,117.00944
0.025,107.66834,2.5353884e-05,0,0.00075647312,0.015820573,0.016567313,0.016812496,0.0023382591,0.00069882681,0.00053217231,117.19331
0.0255,107.66757,3.0415075e-05,0,0.00076282837,0.014606071,0.015282455,0.015490579,0.0014670914,0.00086665586,0.0006797777,117.37733
0.026,107.66682,3.5342287e-05,0,0.00073915343,0.013132871,0.013743203,0.013927302,0.00086671449,0.0010525292,0.00084542737,117.56149
0.0265,107.66608,4.0054528e-05,0,0.0006847086,0.01146669,0.012011797,0.012178286,0.0004783183,0.0012564468,0.0010291213,117.74579
0.027,107.66535,4.4476085e-05,0,0.00060277833,0.0096856898,0.010160353,0.010307983,0.00024453669,0.0014784086,0.0012308595,117.93024
0.0275,107.66463,4.8537381e-05,0,0.00050076346,0.0078701615,0.0082675198,0.0083922188,0.00011508022,0.0017184148,0.001450642,118.11483
0.028,107.66364,5.2359421e-05,0,0.00038938275,0.0060846053,0.0064085493,0.0065098459,6.559718e-05,0.0016144267,0.0016884687,118.29956
0.0285,107.66259,5.578595e-05,0,0.00027910745,0.0044104424,0.0046613623,0.0047397254,6.8236342e-05,0.0009853158,0.0019443397,118.48444
0.029,107.66163,5.8343707e-05,0,0.00017881421,0.0029447416,0.0031125209,0.0031649533,8.787741e-05,0.00038209811,0.002218255,118.66947
0.0295,107.66052,6.0160441e-05,0,9.7106007e-05,0.0017400703,0.001833471,0.0018613628,0.00011733146,0.00010889237,0.0020370061,118.85464
0.03,107.65925,6.1367138e-05,0,3.9566053e-05,0.00083160494,0.00087268627,0.00088345704,0.00016669524,0.00014941708,0.00092263567,119.03995
0.0305,107.6583,6.1887693e-05,0,7.7562356e-06,0.0002498538,0.00026024113,0.00026209382,0.00023585238,0.00015819231,0.00021002499,119.22541
0.031,107.6575,6.1657321e-05,0,3.6231523e-07,8.0584202e-06,7.7461187e-06,7.4230938e-06,0.00030661219,5.3378554e-05,1.3701642e-05,119.41101
0.0315,107.65676,6.0695997e-05,0,1.4284295e-05,9.7448764e-05,0.00010631178,0.00010995892,0.00034948883,4.8483417e-07,1.1510977e-05,119.59676
0.032,107.65604,5.9082787e-05,0,4.5320185e-05,0.00049143628,0.00052770037,0.00054107185,0.00033878079,4.8030586e-05,7.5269038e-05,119.78265
0.0325,107.65533,5.6916457e-05,0,8.8744692e-05,0.00115099,0.0012285148,0.0012559761,0.00026739631,0.00012611421,0.00015954872,119.96868
0.033,107.65463,5.4295484e-05,0,0.00013987864,0.0020283583,0.00215529,0.0021990899,0.00015546711,0.00017879013,0.00022366535,120.15486
0.0335,107.65394,5.1313598e-05,0,0.00019454132,0.0030701252,0.003249249,0.0033097075,5.0780664e-05,0.00018944037,0.00023862959,120.34119
0.034,107.65327,4.8059424e-05,0,0.00024930059,0.0042205219,0.0044504073,0.0045265554,2.1074267e-05,0.00016343897,0.00020427205,120.52766
0.0345,107.65262,4.4614801e-05,0,0.00030153647,0.0054247465,0.0057009318,0.0057910462,0.00014013765,0.00011675657,0.000142656,120.71427
0.035,107.65199,4.1052117e-05,0,0.00034938461,0.0066316656,0.0069476634,0.0070495652,0.0004715696,6.7543666e-05,8.0962592e-05,120.90102
0.0355,107.65138,3.743199e-05,0,0.00039162273,0.007795573,0.0081437604,0.0082550123,0.0010546727,3.0838663e-05,3.5721156e-05,121.08793
0.036,107.65079,3.3800102e-05,0,0.00042754253,0.0088769397,0.0092494636,0.0093676013,0.0018968032,1.2501691e-05,1.0073159e-05,121.27497
0.0365,107.6502,3.0193391e-05,0,0.00045680084,0.0098431009,0.010232377,0.010355073,0.0029716861,6.4208241e-06,1.6791675e-06,121.46216
