step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,gain,damping_scale,eta,alpha_cap,cap_engagements,dE_modal,dE_rigid_loss,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.0002927317710169458,-0.0013576798698054647,0.0003965188346044408,0.0012974021589353304,0.01355439503490287,0.00011295329195752393,0.0007419261867087761,0.0004923025844126047,0.0613868455519616,0.0,0.0005284128384478484,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-4.313165175185742e-06,0.0,0.01997501775622368,-0.03394603729248047,0.007409027311950922,0.007409689016640186,-0.024257896468043327,-0.026002226397395134
1,0.008333333333333333,0.0009531071474647888,-0.0014829024926181905,0.0009076070235735651,0.0003421553818658791,0.0019485362799541131,0.00012919109429047486,0.0008491581545765174,8.825242300854958e-05,0.09290406245424712,0.0,0.00011543416011533724,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-3.5304608572870808e-06,0.0,0.019940748810768127,0.06046414002776146,0.007819648832082748,0.007873003371059895,0.08232861012220383,0.0935286208987236
2,0.016666666666666666,0.0003051371665809782,0.0013710183545127493,0.00030219666056034857,0.0007929673120921633,0.008541544531893838,0.00020037063205625684,0.002971690125802496,0.0003947934486317409,0.05358623561767904,0.0,0.0004177917093119047,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-2.559776689326854e-06,0.0,0.020510241389274597,0.03387808799743652,0.008390025235712528,0.00853728037327528,0.05388021096587181,0.0652080774307251
3,0.025,0.0005727923806292355,0.0010142072768993655,0.0007754308847947565,0.00027889989066306423,0.0032134877656022627,0.00022714969676960903,0.0028684801297560306,9.227640211784339e-05,0.08588154409550076,0.0,0.00011862503350245187,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-2.3990194444037036e-06,0.0,0.020431071519851685,-0.0477755032479763,0.008663894608616829,0.008905962109565735,0.012663601897656918,0.02407371811568737
4,0.03333333333333333,0.004193733760755157,-0.002718216608779507,0.000264374286356479,0.0007554796629109741,0.003668747223276161,0.00025772259029691036,0.002753093691540013,0.000392757074799837,0.05012814621687383,0.0,0.0004085186595274959,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-2.2710252672686164e-06,0.0,0.019671455025672913,-0.12942910194396973,0.008549916557967663,0.008887320756912231,-0.03822505101561546,-0.02675771526992321
5,0.041666666666666664,0.0005367916177479532,-0.0020273512686956696,0.0005169253443282238,0.00031757664025258166,0.0029128375866686994,0.00028199623685248285,-0.0003740614295144283,0.00020206888024691064,0.070129064737575,0.0,0.0002260195734010231,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-9.770318266672656e-07,0.0,0.019823329523205757,0.04420637711882591,0.007950781844556332,0.008383926004171371,-0.10348855704069138,-0.09194254130125046
6,0.05,0.0006078948954737855,0.0005404364230921471,0.0002520865398992049,0.00040787289278487087,0.0011159267877082655,0.0002912956267500517,0.00209958637800006,0.0003061630086907388,0.04895448292207122,0.0,0.0003108550836178542,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-1.1065999251061876e-06,0.0,0.02035735733807087,0.048683878034353256,0.00762967299669981,0.00765266502276063,-0.04584073647856712,0.026835499331355095
7,0.058333333333333334,0.00027977692167228463,0.000782385116198098,0.00039003181402338927,0.0002568321748316074,0.0020165845259004257,0.00030810049779922194,0.0020171265245246014,0.00019039242336343662,0.06091823374409278,0.0,0.00020998175661596097,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-4.3734708696230307e-07,0.0,0.020401345565915108,-0.03302335739135742,0.007783364970237017,0.008032845333218575,0.020834503695368767,0.042793747037649155
8,0.06666666666666667,0.003293290593477952,-0.002325318663183602,0.00026516874604311756,0.00037054990964225515,0.0009797583917085712,0.00031626515106346,0.0019199557370431827,0.0003024229700544217,0.05021282077682834,0.0,0.0003038498531453266,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-9.9104608419331e-07,0.0,0.019764410331845284,-0.11473416537046432,0.007861829362809658,0.008290029130876064,-0.0030648706015199423,0.017972586676478386
9,0.075,8.357953569070885e-05,-0.002563752220373603,0.00025234865547168843,0.0003639919517161656,0.0007546644517209821,0.00032255402149446817,-0.001541278056000572,0.00028061667209769507,0.04900142717469089,0.0,0.0002951678321818172,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-3.0105631956280597e-07,0.0,0.019716180860996246,0.01798867993056774,0.007856243290007114,0.008257531560957432,0.005856155883520842,-0.025970933958888054
10,0.08333333333333333,0.000666771001289139,-4.235517269745659e-05,0.00029315561645964637,0.00016693150972267,0.0005993825631859393,0.00032754887618768435,0.0014120518309616832,0.0002035560475216477,0.05280658931740514,0.0,0.00019644114648566802,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-2.5850493565296494e-07,0.0,0.020231427624821663,0.05154847726225853,0.007828949950635433,0.008164777420461178,-0.002054572105407715,0.002199411392211914
11,0.09166666666666666,0.00023060810226055152,0.00028511115066893176,0.0001633183416429662,0.00029308376463454337,0.00020760313090445112,0.0003292789022785548,0.0013014002614855477,0.0002627389575477794,0.0394174343521082,0.0,0.0002712228498299263,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,-1.9263283640441478e-07,0.0,0.020299511030316353,-0.030105112120509148,0.0077665336430072784,0.008095026947557926,-0.015158056281507015,-0.020164845511317253
12,0.1,0.0006947348287850422,-0.002145963979664261,0.0003383494024175845,0.00017503195365285655,0.0005694064610034669,0.0003340239561202503,-0.0006038238386885276,0.00020807567224730004,0.05673639915688285,0.0,0.00020053588598787904,0.0,9.140549135076826e-09,6.450756257501076e-07,0,4.0,0.25,nan,1.0,0,2.8502169687816877e-07,0.0,0.01980956830084324,-0.0521385632455349,0.007519674487411976,0.0077729555778205395,-0.043113823980093,-0.05725264176726341
