step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,gain,damping_scale,eta,alpha_cap,cap_engagements,dE_modal,dE_rigid_loss,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.0002929891982931743,-0.0013581128606926674,0.0003481407487619863,0.0012861701165008438,0.022281915081623114,0.0001856826256801926,0.0007548698285435295,0.0004922320634815842,0.05752124010894814,0.0,0.000527808815673711,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-7.359129740388973e-06,0.0,0.019974928349256516,-0.03395676612854004,0.007409316953271627,0.007409512531012297,-0.025709865614771843,-0.026234684512019157
1,0.008333333333333333,0.0009855725854170793,-0.0014685800576470815,0.0008897398795827691,0.00027058568677964476,0.00357434467034792,0.0002154688312664253,0.0008927869253988369,8.809209246194614e-05,0.09198478981147006,0.0,0.00011314358675803655,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-4.882714152117324e-06,0.0,0.01994381658732891,0.06157636269927025,0.007844795472919941,0.00783307570964098,0.08795856684446335,0.08559464663267136
2,0.016666666666666666,0.00016781104842723916,0.001031508868245406,0.00022768706009629626,0.0007803087700285233,0.009768440786801426,0.0002968725044897705,0.002504188251287235,0.00039891847951387756,0.04651617994576533,0.0,0.00042164251550140313,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-3.479433500371259e-06,0.0,0.020441334694623947,0.02454042248427868,0.00846372451633215,0.008432548493146896,0.059877630323171616,0.05757450684905052
3,0.025,0.0008170731037436655,0.00029247023701853845,0.000746785680369007,0.0002147399240961535,0.003771229853440257,0.00032829941993510594,0.0023993683651624704,9.278858000831428e-05,0.08427900538960718,0.0,0.00011628358879827821,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-2.2167173483629826e-06,0.0,0.020284350961446762,-0.057113166898489,0.008788789622485638,0.008738810196518898,0.01891493611037731,0.016704797744750977
4,0.03333333333333333,0.0008118513628277473,-0.003090269093530255,0.00020669815985898876,0.0007586333524836375,0.0034503381231741313,0.0003570522376282237,-0.0009560339807316575,0.00040823705967475867,0.044325204885628335,0.0,0.00042635037751625126,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-1.8968520134336926e-06,0.0,0.019596118479967117,-0.056787725538015366,0.008726831525564194,0.00865889247506857,-0.03250300884246826,-0.03462016582489014
5,0.041666666666666664,0.0004663151049481014,-0.002133602942934262,0.0005487841324938982,0.00027205603480778086,0.0013900201222292901,0.00036863573864680114,-0.0004778119320376805,0.00020573096246521874,0.07225039766145515,0.0,0.00022551326684686675,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-4.1624151609232635e-07,0.0,0.019802400842308998,0.04085540398955345,0.008173246867954731,0.008088137954473495,-0.09801148623228073,-0.1000124141573906
6,0.05,0.00021858087978900097,0.0004224135728431845,0.0002478466602411846,0.00043269668740941606,0.0014632148200178123,0.0003808291954802829,0.001702366995763069,0.00033088696357492766,0.048544260586950334,0.0,0.00033901920043433116,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-9.256017441046675e-07,0.0,0.020332077518105507,0.028477905318140984,0.007720942609012127,0.007683203089982271,0.06153970584273338,0.046623941510915756
7,0.058333333333333334,0.00020295251612103329,0.0008747162830196301,0.00042143572623680686,0.00022826233416960946,0.0005063410639879641,0.00038504870434684927,0.002112415563893929,0.0001955935222309508,0.06331441905225757,0.0,0.0002122617234683491,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-9.612368209331503e-08,0.0,0.02041647955775261,-0.027894971892237663,0.008173342794179916,0.00801185704767704,0.045175548642873764,0.030385849997401237
8,0.06666666666666667,0.0030016742972643084,-0.002020642776450144,0.0002344132140643577,0.00040806755319579264,0.0012980985792832326,0.0003958661925075429,0.0020193784805818574,0.00032759948570371524,0.047211811477934906,0.0,0.00033308965627997325,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-7.578901043152255e-07,0.0,0.019822534173727036,-0.10954856127500534,0.008417559787631035,0.008133451454341412,0.013230442069470882,-0.0014179943827912211
9,0.075,0.0005133385465745316,-0.002556383266847583,0.0002540119765150227,0.0003322571257376934,0.00029962205297937684,0.00039836304294903766,-0.0010584125750712976,0.00028240990761874856,0.04915730727695684,0.0,0.00029266406447460246,4.442348957061768,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-1.574460350447994e-05,0.0,0.019716419279575348,0.04484653100371361,0.008323469199240208,0.007916697300970554,-0.03589868173003197,-0.05044877156615257
10,0.08333333333333333,0.0005542135145840307,-5.933825067524069e-05,0.0002864947824847909,0.0001844776889606733,0.0005226848390261986,0.00040271874994092266,0.0013685664852951768,0.0002230510942447814,0.0522021865962504,0.0,0.000221793194976279,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-2.2643961619450226e-07,0.0,0.02022974006831646,0.04680633172392845,0.008058764971792698,0.007757477927953005,-0.0033545491751283407,-0.014525054953992367
11,0.09166666666666666,0.00016217417772768317,0.00034776349536794963,0.00018422834120750963,0.0002792634037319037,5.7013374763105014e-05,0.0004031938613972819,0.001376623279432328,0.000263912416534651,0.04186189287834206,0.0,0.00027155402312578066,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-7.140651223525724e-08,0.0,0.02031458169221878,-0.024933813139796257,0.007962982170283794,0.007668828126043081,-0.021303890272974968,0.005194544326514006
12,0.1,0.0012989937394151418,-0.0022706970808915815,0.0003152795381064318,0.00018496195749360942,0.0004060467659904106,0.000406577584447202,-6.488426142919651e-05,0.00022321432836642716,0.054760356994345574,0.0,0.00022235370956124302,5.127481460571289,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,1.5779257333389677e-05,0.0,0.019783081486821175,-0.07146834582090378,0.00774736050516367,0.007650972343981266,-0.005441307555884123,-0.011264382861554623
13,0.10833333333333334,0.0001225330973831148,-0.002884511878749358,0.00011203668181684941,0.0004470297998399818,0.00010877938142708945,0.0004074840792924277,-0.0017954282204169845,0.00034272849102145,0.032644230846084275,0.0,0.00034939780340217334,3.2045061588287354,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-4.968539614463407e-06,0.0,0.019660525023937225,0.021561382338404655,0.007734035141766071,0.007405880838632584,0.005416273605078459,-0.04829495772719383
14,0.11666666666666667,0.0009080414933597805,-0.000642933084874416,0.0003668325937478711,6.475468685338435e-05,0.00013128061698456487,0.0004085780844339658,0.0011052737735205856,0.0001231099561945603,0.05906966450092666,0.0,0.00011751472693998583,3.3022148609161377,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-1.5119106747764886e-05,0.0,0.020115796476602554,0.060188766568899155,0.0077632032334804535,0.0075494409538805485,0.005275010596960783,0.022779105231165886
15,0.125,2.913867238432027e-05,0.0004804858803162332,6.19213450082425e-05,0.00035409496644822603,0.00013536308969215144,0.0004097061101814004,0.0013353469743384223,0.00030907655359160954,0.0242677767800852,0.0,0.0003113955891595092,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-5.3682929546810827e-08,0.0,0.020343543961644173,-0.010635851882398129,0.007757195737212896,0.007684246636927128,-0.008827149868011475,0.007568299304693937
16,0.13333333333333333,0.0017797733290111765,-0.0017209639521902449,0.00036577563224405327,5.911845554644379e-05,9.072051279768935e-05,0.0004104621144547145,0.0008941655790661432,0.0001177248638019864,0.05898376341139715,0.0,0.0001126797388329787,3.6882688999176025,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,9.473603709732076e-06,0.0,0.019897354766726494,-0.08382081240415573,0.007559399586170912,0.007619212381541729,-0.03908425197005272,-0.023452339693903923
17,0.14166666666666666,2.2008263069077335e-06,-0.003012008817203345,2.5421064218996694e-05,0.0005072192766796966,0.00014623365624462159,0.000411680728256753,-0.002065486921740991,0.0003707645106893555,0.015547814115311455,0.0,0.0003713375980581136,1.780799150466919,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-4.145475746500241e-07,0.0,0.0196379404515028,0.0028145310934633017,0.007388311438262463,0.007410735823214054,0.0027322766836732626,0.005952715408056974
18,0.15,0.0008248790987947708,-0.001182212830952371,0.0004153953634586245,7.528470699385483e-06,9.004439949135183e-05,0.0004124310982525143,0.0004780212002529242,1.365417677580678e-05,0.06285785194643505,0.0,1.3479896873088857e-05,1.6758166551589966,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-7.5881226161899295e-06,0.0,0.020008733496069908,0.05737423524260521,0.007515944540500641,0.007508507464081049,0.01802980713546276,0.020351706072688103
19,0.15833333333333333,1.797637357061307e-05,0.0004361294962344669,4.43311525031828e-06,0.0003817125879968797,5.154304730419436e-05,0.0004128606236467159,0.0012531121966989937,0.0003210925169224919,0.006491937498952211,0.0,0.0003188657308190333,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-8.12645109510941e-09,0.0,0.02033606730401516,0.008311271667480469,0.007645121309906244,0.0076396772637963295,0.012600122950971127,0.008606314659118652
20,0.16666666666666666,0.0013461189357775872,-0.0009985233278134859,0.0003823540646597812,3.5341387048513464e-06,9.363008425470342e-05,0.0004136408743488384,0.0011471246856775722,1.2659597501472516e-05,0.06030594132767062,0.0,1.1962257001592708e-05,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-2.7247164852595325e-08,0.0,0.020043840631842613,-0.07334231585264206,0.007664489094167948,0.007594193331897259,-0.009234844706952572,-0.020070074126124382
21,0.175,2.0899557441803273e-05,-0.002956144062045964,6.693395010903032e-06,0.0004898240396820933,2.6956660743864656e-05,0.0004138655131883706,-0.0020248615567227935,0.0003634108679335302,0.007980135764829402,0.0,0.00036054782910948605,1.928004503250122,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,1.4440838806681127e-06,0.0,0.019647866487503052,-0.008715391159057617,0.00752556137740612,0.00741981714963913,-0.014534889720380306,-0.01942366175353527
22,0.18333333333333332,0.0007650043990891443,-0.0016781391503177603,0.0003795922196327221,3.304419321825198e-05,0.0001043443222677123,0.0004147350492072682,-8.576328917037372e-05,9.437406286066569e-05,0.06008727312812726,0.0,9.375127293041651e-05,1.1571786403656006,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-5.157572913073582e-06,0.0,0.019908437505364418,0.05526423081755638,0.007471051532775164,0.007472371216863394,0.01744776964187622,0.015353857539594173
23,0.19166666666666665,0.00010940613583742155,0.0002442860051868462,2.887688721345583e-05,0.00033070197404464223,1.6296954761611424e-05,0.00041487085716361495,0.0011281418594459808,0.0002988263471255612,0.016573294864465238,0.0,0.0002967617483134867,0.0,9.176871062172194e-09,6.450732253195684e-07,0,4.0,0.5,nan,1.0,0,-3.208844345179698e-08,0.0,0.02029743604362011,0.020846126601099968,0.007613746915012598,0.007622995413839817,0.010404287837445736,0.012039541266858578
