step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,gain,damping_scale,eta,alpha_cap,cap_engagements,dE_modal,dE_rigid_loss,jump_gain,jump_max_height,last_max_v_lift,last_max_v_hp,jump_engagements,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
0,0.0,0.00024717934923126797,-0.0011027861036248528,0.0008863206125143781,0.004189970318484328,0.09527004916413395,0.000793917076367783,0.0050146012529729035,0.00044801855213207596,0.04589184423712775,0.0,0.00047944401515604806,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-3.569142116527455e-05,0.0,8.0,0.01,0.442944691807002,0.0755819684176666,9,0.020015835762023926,-0.029257534071803093,0.007967757992446423,0.007965768687427044,0.07166861742734909,0.07136642932891846
1,0.008333333333333333,0.009667455614541298,0.0022035524108558876,0.0022556035080523182,0.001055089817771846,0.028532774601236603,0.0010316901980447547,0.016213391549266105,0.00012214465168250137,0.07323885841515126,0.0,0.00014761123481150018,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.1236742699718971e-05,0.0,8.0,0.01,0.4206184583897249,0.05257730729871561,25,0.020679742097854614,0.1964557021856308,0.008477440103888512,0.008472966030240059,0.047183629125356674,0.04689573869109154
2,0.016666666666666666,0.003302679084124248,0.008481410197086632,0.0010109364114511544,0.002075533327713454,0.024548792819339967,0.0012362634715392543,0.016106822491914745,0.0003489014777698094,0.04901512023782137,0.0,0.0003604288645624538,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.7436853211592537e-05,0.0,8.0,0.01,0.37276202399998437,0.046595252999998046,41,0.02195538580417633,0.11480211466550827,0.008690863847732544,0.00868411734700203,0.004978179465979338,0.0047188992612063885
3,0.025,0.00034205690080309236,0.011473064310254528,0.0019466022963834384,0.0009903022129508412,0.009413502822116998,0.0013147093283902293,0.01606673504878213,0.0001283275000229037,0.06803821916848929,0.0,0.00015131697201687687,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-2.1859603003019853e-06,0.0,8.0,0.01,0.0,0.0,50,0.022550195455551147,0.033048391342163086,0.009392009116709232,0.009493935853242874,0.09991049021482468,0.11602877825498581
4,0.03333333333333333,0.0006396375194033592,0.011127357734704389,0.000965409880332333,0.0018502657638385343,0.020516279256256577,0.0014856783221923674,0.016068349220470984,0.0003459652027685054,0.047899612968850626,0.0,0.0003529272221258088,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.1811807485641746e-05,0.0,8.0,0.01,0.2274645014870929,0.028433062685886613,56,0.0224636048078537,-0.04871964082121849,0.010130359791219234,0.010366605594754219,0.07621943205595016,0.0923377200961113
5,0.041666666666666664,0.004278468817349313,0.007413814554048701,0.0017869170185496905,0.0009354626187958755,0.0023240438490915206,0.00150504535426813,0.01591970836301171,0.00013497458379750838,0.06518682389954716,0.0,0.0001564357125659562,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.6167569552409666e-06,0.0,8.0,0.01,0.39037237424876653,0.048796546781095816,72,0.021695613861083984,-0.13048768043518066,0.010608077049255371,0.010978641919791698,0.03881692513823509,0.054935213178396225
6,0.05,0.0015013538362985746,0.0012741140026710908,0.00027564292672106863,0.0016827141131837435,0.007753593470514303,0.0015696586331890826,0.00630348351206356,0.00033239734051184947,0.02559285801500441,0.0,0.00032674678490664786,43.061832427978516,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-0.0004185670383304737,0.0,8.0,0.01,0.22700570553346822,0.028375713191683527,88,0.020440200343728065,0.07721900194883347,0.010725447908043861,0.011230338364839554,-0.009849070571362972,0.006274580489844084
7,0.058333333333333334,3.4947248767785576e-05,0.002682148473814128,0.0016653101075033289,0.00023069195357698746,0.0033286589560222214,0.0015973974578226012,0.006210495241484831,2.1110121756801926e-05,0.06293264747838916,0.0,2.9489041169781483e-05,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-2.5594910056240313e-06,0.0,8.0,0.01,0.0,0.0,93,0.020733214914798737,-0.0030505654867738485,0.010360590182244778,0.010999844409525394,-0.07435976713895798,-0.05823611840605736
8,0.06666666666666667,0.001894472727410267,0.0007008596495836953,0.00019268579131223408,0.0016683368837686285,0.005514927322238926,0.0016433551855079256,0.006099710237582751,0.00033173749805709516,0.021397338699312835,0.0,0.0003251407020315278,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-1.688617310478249e-06,0.0,8.0,0.01,0.04947949105421462,0.006184936381776827,101,0.020346306264400482,-0.08470415323972702,0.009442216716706753,0.010215834714472294,-0.14232337474822998,-0.12619972229003906
9,0.075,0.008849580474656773,0.0014501489980258027,0.0008651064235472356,0.0001978271669749954,0.01177721708175647,0.0017414986611892296,0.013104161724394037,0.0001097173187372027,0.04535996027903202,0.0,0.00011392801557459027,0.0,2.294688119416087e-09,1.6126592901455662e-07,0,1.0,1.0,nan,1.0,0,-4.89865593275335e-06,0.0,8.0,0.01,0.30470947821317923,0.038088684776647404,117,0.02051158808171749,0.1868891566991806,0.008939829654991627,0.009466071613132954,0.01297831442207098,0.14583168923854828
