substep_index,t_substep_s,q_norm_m,qdot_norm,q_acc_norm,KE_modal_J,PE_modal_J,P_damp_W,contact_lambda_max,max_support_deflection_m,n_iter_solves
0,0.0,2.5120571730682935e-05,0.09646299544582247,370.4179025119583,0.004000430551992595,0.0010307975459946802,0.15199728294219156,241.05494689941406,4.210930997940348e-05,5
1,0.0005208333333333333,4.4309809382663646e-05,0.02694365876639095,831.9773446679397,0.00032215356616424395,0.0017676906433928895,0.13214004462592072,0.0,7.082178478922462e-05,5
2,0.0010416666666666667,2.646729239795043e-05,0.048850109133583564,741.5822415345474,0.0009627032612122065,0.00030249787616418297,0.05873530133525927,0.0,3.762117749548867e-05,5
3,0.0015625,3.2205262507620175e-05,0.07156523994156497,299.5846682661929,0.002133800565780236,0.0004698263295115071,0.07663381988930151,0.0,4.760784894375962e-05,5
4,0.0020833333333333333,3.592402631129958e-05,0.059124483287675826,261.51985498252856,0.0014579465567192383,0.0005134000553055637,0.07666177972843793,0.0,5.2150124037508706e-05,5
5,0.0026041666666666665,2.537717406941471e-05,0.015585397358496329,528.1778904217152,9.419530246295552e-05,0.00019595131216965198,0.018514461656101263,0.0,3.2714274951856434e-05,5
6,0.003125,3.4020389221336716e-05,0.0220946431307116,509.9763779903775,0.00021815363322956382,0.00040486398631770653,0.03231322559218084,0.0,4.883895202496522e-05,5
7,0.0036458333333333334,2.980456322116755e-05,0.0414951750074169,309.62787803834823,0.0007577206780670642,0.00021743556752309065,0.07574187311295989,0.0,3.952838087874426e-05,5
8,0.004166666666666667,2.7336691544624842e-05,0.03204753147198027,225.50445561708707,0.00045501441165767757,0.0001566731765081395,0.06781548199789461,0.0,3.5551733649061274e-05,5
9,0.0046875,3.24093727807443e-05,0.012016295606211385,320.4278805449128,6.388896885523493e-05,0.00026609292843094513,0.03141491911652303,0.0,4.477218963855853e-05,5
10,0.005208333333333333,2.7136292958894332e-05,0.014092645253468563,333.13776572253084,7.506832005609143e-05,0.00013789107575922247,0.011922872482212282,0.0,3.3715834981001304e-05,5
