step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
16,0.13333333333333333,2.881265260335628e-09,-0.0014885505831688664,1.2770578392554908e-08,4.4845706937598e-05,5.222630800955847e-07,0.00020896053801550547,-0.0012347286863721102,5.320290207264847e-05,0.00017834258178957697,2.8614579246417744,5.4892166891483715e-05,1.2301777601242065,0.019946828484535217,-0.00010728835331974551,0.007484767585992813,0.007484767585992813,-2.592801865830552e-05,-2.592801865830552e-05
17,0.14166666666666666,2.881612798549839e-09,-0.0014955010496433847,1.2418680513302329e-08,4.7140145523507496e-05,8.06696030572298e-07,0.0002089672604824269,-0.0012393783433441382,5.4644477042458935e-05,0.0001771768860732087,0.5285882489911652,5.633477903498017e-05,1.2309192419052124,0.0199454203248024,-0.00010728835331974551,0.0074843247421085835,0.0074843247421085835,-2.592801865830552e-05,-2.6822088329936378e-05
18,0.15,2.881576073378262e-09,-0.0015023504232410364,1.2035236416156858e-08,4.946387043239509e-05,9.854671894499356e-08,0.00020896808170508478,-0.0012439035542910668,5.606714132942768e-05,0.00017065366168283618,1.2439456517758232,5.775820707462341e-05,1.2290897369384766,0.01994403265416622,-0.00010728835331974551,0.007483887951821089,0.007483887951821089,-2.592801865830552e-05,-2.592801865830552e-05
19,0.15833333333333333,2.8813310875696984e-09,-0.0015091170221921077,1.1739084141601412e-08,5.1816524054362405e-05,8.222061492729159e-08,0.00020896876687687583,-0.00124831711084564,5.7471458590113664e-05,0.00016584360528303142,1.1610701415532045,5.916332812494898e-05,1.2290517091751099,0.019942661747336388,-0.00010728835331974551,0.007483456749469042,0.007483456749469042,-2.503394898667466e-05,-2.592801865830552e-05
20,0.16666666666666666,2.6925682468671293e-09,-0.001515800823655913,1.1428903431081968e-08,5.419445277194701e-05,1.3450014611600296e-07,0.00020896988771142678,-0.0012526223617008614,5.8857286800643e-05,0.00016331086212123059,0.208439948470053,6.0549706957171866e-05,1.2285064458847046,0.019941307604312897,-0.00010371207463322207,0.00748303160071373,0.0074830311350524426,-2.592801865830552e-05,-2.592801865830552e-05
21,0.175,2.6924026230354733e-09,-0.0015223836236055962,1.1186607040502788e-08,5.6597055358804584e-05,1.8355861358703906e-08,0.0002089700406769381,-0.00125680264856019,6.022493308014723e-05,0.00016256466704631935,0.48908877757816693,6.191797975139606e-05,1.2304506301879883,0.019939973950386047,-0.00010371207463322207,0.007482611108571291,0.007482611108571291,-2.41398793150438e-05,-2.503394898667466e-05
22,0.18333333333333332,2.692618281460793e-09,-0.001528883626068013,1.0881000593681083e-08,5.902277996496794e-05,1.6808881815158403e-08,0.00020897018075095324,-0.0012608770917332166,6.157474631582543e-05,0.00016140838594010565,0.4566470186608802,6.326849300755071e-05,1.2297890186309814,0.01993865706026554,-0.00010371207463322207,0.007482196670025587,0.007482196670025587,-2.41398793150438e-05,-2.592801865830552e-05
23,0.19166666666666665,2.6922090933026324e-09,-0.0015353008538838498,1.065430328330562e-08,6.147084936368989e-05,2.4172862631841007e-08,0.00020897038219147516,-0.001264846275816308,6.290729113467993e-05,0.00015987828350772732,0.06736110154537124,6.46018886861735e-05,1.2313095331192017,0.019937356933951378,-0.00010371207463322207,0.007481787819415331,0.007481787819415331,-2.324580964341294e-05,-2.41398793150438e-05
24,0.2,2.6922927749753604e-09,-0.0015416446717344246,1.030921874957787e-08,6.393647762539124e-05,5.562690093410926e-09,0.00020897042854722594,-0.001268724764050283,6.422212552935019e-05,0.00015678723441575553,0.19566149879930245,6.591719345848606e-05,1.2294265031814575,0.01993607170879841,-0.00010371207463322207,0.007481382228434086,0.007481382228434086,-2.41398793150438e-05,-2.235173997178208e-05
25,0.20833333333333334,2.5100685465102827e-09,-0.0015478873053453885,1.0031815829470416e-08,6.641997519575657e-05,5.6734629982353716e-09,0.00020897047582608426,-0.001272484312439172,6.551976289440748e-05,0.00015423762853712376,0.1821435675692713,6.721530429950617e-05,1.230641484260559,0.01993480697274208,-0.00010013579594669864,0.00748098362237215,0.00748098362237215,-2.324580964341294e-05,-2.41398793150438e-05
26,0.21666666666666667,2.5097736315041625e-09,-0.0015540563234249152,9.78203710173435e-09,6.892021191643076e-05,6.587429591792404e-09,0.00020897053072133087,-0.0012761532889764204,6.680041602264268e-05,0.0001522480089609104,0.026354729584554006,6.849659473175594e-05,1.2299777269363403,0.019933557137846947,-0.00010013579594669864,0.007480590604245663,0.007480590138584375,-2.324580964341294e-05,-2.235173997178208e-05
27,0.225,2.3336853600588486e-09,-0.001560151748813691,9.535336670946782e-09,7.143506431003719e-05,3.5845906462716204e-09,0.00020897056059291958,-0.0012797342548887033,6.806433205743639e-05,0.00015050337907542862,0.08380746831349788,6.976106558718733e-05,1.2299572229385376,0.019932322204113007,-9.65595172601752e-05,0.007480202242732048,0.007480202242732048,-2.235173997178208e-05,-2.324580964341294e-05
28,0.23333333333333334,2.1640521262394367e-09,-0.0015661644452372588,9.38725987346565e-09,7.396351096544542e-05,3.639150766579226e-09,0.00020897059091917598,-0.0012832187920406378,6.931179612460041e-05,0.00014949250771192807,0.07251239812981057,7.100909902539667e-05,1.229482650756836,0.01993110403418541,-9.298323857365176e-05,0.007479819469153881,0.007479819003492594,-2.145767030015122e-05,-2.235173997178208e-05
29,0.24166666666666667,2.3337169285430523e-09,-0.0015720852764211615,9.099113495379024e-09,7.650207447946802e-05,3.792572655372398e-09,0.0002089706225239481,-0.0012866011465873216,7.054261036461016e-05,0.00014721533520753777,0.005640138042114566,7.22401377682959e-05,1.2304356098175049,0.019929904490709305,-9.65595172601752e-05,0.007479441352188587,0.007479441352188587,-2.145767030015122e-05,-2.145767030015122e-05
30,0.25,2.164672456254702e-09,-0.001577941696870143,8.808784175652257e-09,7.905231095025688e-05,3.098982208488837e-09,0.00020897064834879983,-0.0012899077641144543,7.175745759306664e-05,0.000144741445774612,0.037079597228297304,7.345542288742902e-05,1.2304444313049316,0.019928717985749245,-9.298323857365176e-05,0.007479067891836166,0.007479068357497454,-2.0563600628520362e-05,-2.0563600628520362e-05
31,0.2583333333333333,2.1636571353852206e-09,-0.0015837153883539162,8.63793746818306e-09,8.161256627764239e-05,3.151721491100839e-09,0.0002089706746131456,-0.0012931213458685245,7.295649388127583e-05,0.0001432655061548645,0.02048264157104769,7.465504505149623e-05,1.230872631072998,0.019927548244595528,-9.298323857365176e-05,0.007478700019419193,0.007478700019419193,-2.0563600628520362e-05,-1.9669530956889503e-05
32,0.26666666666666666,2.1637006312036214e-09,-0.0015894155099876247,8.380303781367411e-09,8.418107846056983e-05,2.976420527400562e-09,0.00020897069941664998,-0.0012962531881059922,7.413996924356489e-05,0.00014113523468086951,0.007049126423779751,7.58390329416592e-05,1.2292730808258057,0.019926393404603004,-9.298323857365176e-05,0.007478336803615093,0.007478336803615093,-1.9669530956889503e-05,-2.145767030015122e-05
33,0.275,1.8442864577201992e-09,-0.0015950512208864115,8.207940792795675e-09,8.675636405515703e-05,2.888561355533208e-09,0.0002089707234879946,-0.0012993140811160095,7.53079709040178e-05,0.00013969642071166838,0.014099672594789666,7.700750355967305e-05,1.2304025888442993,0.019925251603126526,-8.583068120060489e-05,0.007477978244423866,0.007477978244423866,-2.0563600628520362e-05,-1.9669530956889503e-05
34,0.2833333333333333,2.000432793675928e-09,-0.0016005951122269055,7.918300852148684e-09,8.933779273100575e-05,2.7898051133602288e-09,0.00020897074673637055,-0.0013022766540258834,7.646075968176092e-05,0.0001372336449270166,0.010231904770104239,7.81608126458841e-05,1.230466604232788,0.01992412842810154,-8.940695988712832e-05,0.007477624341845512,0.007477624341845512,-1.9669530956889503e-05,-1.9669530956889503e-05
35,0.2916666666666667,2.0004049542836274e-09,-0.001606074592832478,7.725619559902235e-09,9.19234909843406e-05,2.71941384555967e-09,0.00020897076939815258,-0.0013051706064254706,7.759845384024041e-05,0.0001355521290106604,0.007444541144668705,7.929890786316848e-05,1.2307212352752686,0.019923018291592598,-8.940695988712832e-05,0.007477275095880032,0.007477275095880032,-1.9669530956889503e-05,-1.9669530956889503e-05
36,0.3,1.8436789533056963e-09,-0.001611489685543815,7.570319611913203e-09,9.451378408628194e-05,2.662675894248219e-09,0.00020897079158711836,-0.0013079956958718499,7.872155355498623e-05,0.00013417866678504977,0.0024350664936407416,8.042247015743299e-05,1.2296576499938965,0.0199219211935997,-8.583068120060489e-05,0.0074769300408661366,0.007476930506527424,-1.8775461285258643e-05,-1.9669530956889503e-05
37,0.30833333333333335,1.8445371030459725e-09,-0.0016168220949713164,7.356086507970286e-09,9.710479919042823e-05,2.5902488010017946e-09,0.00020897081317252503,-0.0013107372819847521,7.982954124387148e-05,0.0001322681544274313,0.006801122019429004,8.153067944249599e-05,1.229593276977539,0.019920840859413147,-8.583068120060489e-05,0.007476590108126402,0.007476590108126402,-1.8775461285258643e-05,-1.9669530956889503e-05
38,0.31666666666666665,1.6938631082495592e-09,-0.0016220901165045819,7.155857293424301e-09,9.969853590985604e-05,2.5127925386312768e-09,0.00020897083411246286,-0.0013134118967618614,8.092317728816998e-05,0.0001304433318596263,0.009334630728191047,8.262475238444778e-05,1.230859398841858,0.019919773563742638,-8.225440251408145e-05,0.007476254366338253,0.007476254366338253,-1.7881391613627784e-05,-1.7881391613627784e-05
39,0.325,1.6932546756251264e-09,-0.0016272846138691553,6.955029948155581e-09,0.00010229106443725245,2.4601298059613784e-09,0.00020897085461354456,-0.0013160140465337344,8.200214109348227e-05,0.00012858141065663227,0.0051658989411582186,8.370384838742691e-05,1.2291715145111084,0.019918721169233322,-8.225440251408145e-05,0.007475923281162977,0.00747592281550169,-1.7881391613627784e-05,-1.8775461285258643e-05
40,0.3333333333333333,1.5494127388238955e-09,-0.0016324238824546359,6.816715022692386e-09,0.00010488415217568454,2.421236938529362e-09,0.00020897087479051905,-0.0013185604893606708,8.306698808421114e-05,0.0001273282065649402,0.005236770255825006,8.476906085275614e-05,1.2288728952407837,0.019917679950594902,-7.867812382755801e-05,0.007475595921278,0.007475595921278,-1.7881391613627784e-05,-1.7881391613627784e-05
41,0.3416666666666667,1.5493671042878267e-09,-0.0016374804905969673,6.5800402382151955e-09,0.00010747584486208881,2.3301631788022402e-09,0.00020897089420854553,-0.0013210256221189906,8.411789418420656e-05,0.00012510548129820962,0.007912918259174785,8.582024525631871e-05,1.2294336557388306,0.019916655495762825,-7.867812382755801e-05,0.007475273218005896,0.007475273218005896,-1.6987323760986328e-05,-1.6987323760986328e-05
42,0.35,1.5492908040731144e-09,-0.0016424818471195198,6.445434984050098e-09,0.00011006634957605698,2.273429673857432e-09,0.00020897091315379282,-0.0013234365896638818,8.515518607128774e-05,0.0001237853943084197,0.00786031646795042,8.685792762213923e-05,1.2297897338867188,0.019915642216801643,-7.867812382755801e-05,0.007474955171346664,0.007474954705685377,-1.6987323760986328e-05,-1.6987323760986328e-05
43,0.35833333333333334,1.411816003376951e-09,-0.0016474097023140661,6.27325582447355e-09,0.00011265294692129568,2.2174096636049663e-09,0.00020897093163220668,-0.001325778138688736,8.617876338627073e-05,0.0001221190144676506,0.010501463146892091,8.788166593580354e-05,1.2293376922607422,0.019914643839001656,-7.510184514103457e-05,0.007474640849977732,0.007474640849977732,-1.6987323760986328e-05,-1.6987323760986328e-05
44,0.36666666666666664,1.411665976158507e-09,-0.0016522732381364352,6.154077989139096e-09,0.00011523744953528586,2.1722380512917047e-09,0.00020897094973419043,-0.0013280572731229935,8.718913417826353e-05,0.00012097568176956989,0.006446544127010224,8.889248136152924e-05,1.228952169418335,0.019913658499717712,-7.510184514103457e-05,0.0074743302538990974,0.007474330719560385,-1.609325408935547e-05,-1.609325408935547e-05
45,0.375,1.4109269944881824e-09,-0.0016570721348170214,5.9461211833223304e-09,0.00011781704805906892,2.0939481739444535e-09,0.00020897096718375854,-0.0013302767625260159,8.81861514619008e-05,0.00011890841828797645,0.007234917493431898,8.988985881446622e-05,1.2302767038345337,0.019912686198949814,-7.510184514103457e-05,0.00747402710840106,0.00747402710840106,-1.251697449333733e-05,-1.162290482170647e-05
46,0.3833333333333333,1.4117912792456155e-09,-0.0016618252130812057,5.747880335658565e-09,0.0001203924182562867,2.0283124051527015e-09,0.0002089709840863619,-0.0013324546510669422,8.917036183690655e-05,0.00011691581859054702,0.007036494847477604,9.087444258365261e-05,1.2287698984146118,0.01991172321140766,-7.510184514103457e-05,0.007473725359886885,0.007473724894225597,-1.7881391613627784e-05,-1.6987323760986328e-05
47,0.39166666666666666,1.4116256844385765e-09,-0.001666495699424299,5.601255490369902e-09,0.00012296036232217544,2.001481070648933e-09,0.00020897100076537083,-0.0013345573234555777,9.014139439146774e-05,0.0001154337419287198,0.002711424067463932,9.184558418419318e-05,1.2290613651275635,0.019910776987671852,-7.510184514103457e-05,0.00747342687100172,0.00747342687100172,-1.6987323760986328e-05,-1.6987323760986328e-05
48,0.4,1.280869033578608e-09,-0.0016711109569882998,5.470716952467741e-09,0.00012552296491490154,1.922719665728427e-09,0.0002089710167880347,-0.0013366102236993774,9.109982252844179e-05,0.00011405700442775263,0.015314177939015199,9.280432342064006e-05,1.2303709983825684,0.019909841939806938,-7.152556645451114e-05,0.007473133038729429,0.007473132573068142,-1.7881391613627784e-05,-1.6987323760986328e-05
49,0.4083333333333333,1.2807913937737763e-09,-0.0016756618951801233,5.3850456214110875e-09,0.0001280781826606613,1.922160470355274e-09,0.00020897103280603864,-0.0013386060138764083,9.204568695325173e-05,0.00011313806219884479,0.006501035201148461,9.375037919378771e-05,1.2298909425735474,0.01990891993045807,-7.152556645451114e-05,0.007472842466086149,0.007472842466086149,-1.6987323760986328e-05,-1.7881391613627784e-05
50,0.4166666666666667,1.2806656517007004e-09,-0.0016801668093893698,5.189614599627389e-09,0.00013062533458347975,1.8212271953965367e-09,0.00020897104798293193,-0.001340563956542707,9.297899640264914e-05,0.00011108880944292705,0.006115107193513155,9.468388630102354e-05,1.2282626628875732,0.019908007234334946,-7.152556645451114e-05,0.007472555618733168,0.007472555618733168,-1.609325408935547e-05,-1.6987323760986328e-05
51,0.425,1.2806326186215352e-09,-0.0016845982222706102,5.0642686315801456e-09,0.00013316534514914608,1.7857856933435463e-09,0.00020897106286447937,-0.0013424554693557346,9.390024728642385e-05,0.00010975114572962429,0.005245593384555643,9.560548261544189e-05,1.2299355268478394,0.019907109439373016,-7.152556645451114e-05,0.007472272962331772,0.007472272962331772,-1.609325408935547e-05,-1.6987323760986328e-05
52,0.43333333333333335,1.1558054730046532e-09,-0.0016889744520541302,4.946766663541643e-09,0.00013569549234769142,1.738020657930207e-09,0.00020897107734798486,-0.0013443017797863173,9.48092522466652e-05,0.00010845212883325259,0.00469691429546619,9.651464537945123e-05,1.2292015552520752,0.019906222820281982,-6.794929504394531e-05,0.0074719940312206745,0.0074719940312206745,-1.609325408935547e-05,-1.609325408935547e-05
53,0.44166666666666665,1.1565498352655213e-09,-0.0016932959098722809,4.800554448946175e-09,0.0001382174636432531,1.6925585469682703e-09,0.00020897109145263942,-0.0013461013976721042,9.570649733952452e-05,0.0001068293716241812,0.007822283542743128,9.741223482685831e-05,1.2292588949203491,0.019905347377061844,-6.794929504394531e-05,0.00747171463444829,0.00747171463444829,-1.609325408935547e-05,-1.609325408935547e-05
54,0.45,1.1560619324996781e-09,-0.001697561819141733,4.675942963370503e-09,0.00014072918656755635,1.6423123959798936e-09,0.00020897110513857606,-0.0013478556954307046,9.659194178849803e-05,0.00010544960021050039,0.013939043238529632,9.829790603259045e-05,1.2296812534332275,0.0199044831097126,-6.794929504394531e-05,0.007471442688256502,0.007471442688256502,-1.609325408935547e-05,-1.609325408935547e-05
55,0.4583333333333333,1.1559922023968472e-09,-0.0017017725453134648,4.524507917691625e-09,0.00014323034272242628,1.6289706465494883e-09,0.00020897111871333144,-0.001349565403377587,9.746571060484877e-05,0.0001037448681210473,0.0119206478530662,9.91718685979856e-05,1.2291643619537354,0.019903630018234253,-6.794929504394531e-05,0.007471174467355013,0.007471174467355013,-1.4305113836599048e-05,-1.4305113836599048e-05
56,0.4666666666666667,1.1554122291118143e-09,-0.0017059189521130196,4.426426924807595e-09,0.00014571995464595608,1.5549631979601116e-09,0.0002089711316713581,-0.0013512222839565512,9.832782361824721e-05,0.00010259563064865979,0.0076065656994762105,0.00010003410450305294,1.2303372621536255,0.01990278996527195,-6.794929504394531e-05,0.007470909971743822,0.007470909971743822,-1.4305113836599048e-05,-1.5199183508229908e-05
57,0.475,1.037131188280033e-09,-0.0017100193577706836,4.304559893169673e-09,0.0001481992036272661,1.5174133642625156e-09,0.00020897114431646946,-0.0013528436681358668,9.917879247359494e-05,0.00010118137313981912,0.00660512463270227,0.00010088526735357804,1.2289828062057495,0.019901959225535393,-6.437301635742188e-05,0.0074706487357616425,0.0074706487357616425,-1.5199183508229908e-05,-1.4305113836599048e-05
58,0.48333333333333334,1.0370575156963274e-09,-0.0017140646031713134,4.250693895642525e-09,0.00015066714783262315,1.5036980119959609e-09,0.00020897115684728623,-0.0013544210107399926,0.00010001856653709896,0.00010054679744117236,0.008966322740690003,0.00010172535977818723,1.2296674251556396,0.01990113966166973,-6.437301635742188e-05,0.007470390759408474,0.007470391225069761,-1.4305113836599048e-05,-1.4305113836599048e-05
59,0.49166666666666664,9.250809433766602e-10,-0.0017180638245893665,4.125162241403125e-09,0.00015312214820904888,1.4523489635957533e-09,0.00020897116895019426,-0.001355965457186939,0.000100847257546719,9.904755996788577e-05,0.0017417558241326191,0.00010255411307656827,1.2284079790115356,0.019900329411029816,-6.079673403291963e-05,0.007470136974006891,0.007470136508345604,-1.4305113836599048e-05,-1.3411044164968189e-05
60,0.5,1.0373585992979532e-09,-0.0017219987951573007,4.00592523203792e-09,0.00015556572010312788,1.4201327668636006e-09,0.000208971180784634,-0.0013574568509857076,0.00010166516908824596,9.761302729588089e-05,0.008370570156907158,0.0001033722868686138,1.2287647724151611,0.019899532198905945,-6.437301635742188e-05,0.007469885516911745,0.007469885516911745,-1.4305113836599048e-05,-1.3411044164968189e-05
61,0.5083333333333333,9.254124916483035e-10,-0.001725887741742658,3.8907481921069465e-09,0.00015799586905098208,1.3797074871644918e-09,0.0002089711922821964,-0.0013589158642487958,0.00010247230782413462,9.617014488016719e-05,0.01792368224363685,0.00010417950324209411,1.2303069829940796,0.01989874430000782,-6.079673403291963e-05,0.007469637785106897,0.007469637785106897,-1.4305113836599048e-05,-1.4305113836599048e-05
62,0.5166666666666666,8.196223749263059e-10,-0.001729730687186124,3.772996633739465e-09,0.00016041357965045978,1.3696290782766796e-09,0.00020897120369577204,-0.0013603413112208834,0.00010326886481156832,9.469122512817215e-05,0.002536683987197341,0.00010497632617491178,1.2283568382263184,0.01989796571433544,-5.722045534639619e-05,0.007469393312931061,0.007469393312931061,-1.4305113836599048e-05,-1.4305113836599048e-05
63,0.525,8.195390255015404e-10,-0.0017335093589387856,3.6846044742598897e-09,0.00016281663259614198,1.3086589293859707e-09,0.00020897121460126313,-0.001361717007597881,0.00010405472945707408,9.360826920571972e-05,0.012713435587896867,0.00010576228793611215,1.2288081645965576,0.019897200167179108,-5.722045534639619e-05,0.007469152100384235,0.007469152100384235,-1.3411044164968189e-05,-1.3411044164968189e-05
64,0.5333333333333333,9.251233072202292e-10,-0.0017372420295495561,3.543158306226357e-09,0.00016520825223451625,1.2700113483666523e-09,0.00020897122518469103,-0.0013630580838487354,0.00010483073769604117,9.180422635124088e-05,0.008893476913100776,0.00010653859800092198,1.2282339334487915,0.01989644393324852,-6.079673403291963e-05,0.007468914147466421,0.007468914147466421,-1.3411044164968189e-05,-1.4305113836599048e-05
65,0.5416666666666666,8.20377430853991e-10,-0.001740937880974265,3.4819030935206722e-09,0.00016758485750674874,1.2384184321264075e-09,0.00020897123550484465,-0.0013643774856821472,0.00010559639237224237,9.100596753684991e-05,0.0036931446456343257,0.00010730443293658823,1.2290490865707397,0.01989569514989853,-5.722045534639619e-05,0.007468678988516331,0.007468678988516331,-1.251697449333733e-05,-1.4305113836599048e-05
66,0.55,8.194910526703693e-10,-0.0017445785949826262,3.415374827931813e-09,0.00016994744779584147,1.2039477967166375e-09,0.00020897124553774296,-0.0013656556667831611,0.00010635210849451491,9.011966865105618e-05,0.0021664623101357704,0.0001080602666253753,1.2261313199996948,0.019894957542419434,-5.722045534639619e-05,0.0074684470891952515,0.0074684470891952515,-1.251697449333733e-05,-1.3411044164968189e-05
67,0.5583333333333333,8.195240262188951e-10,-0.0017481642172560118,3.282875037764369e-09,0.0001722946711171828,1.1836303725957076e-09,0.0002089712554013294,-0.0013668941883384356,0.00010709761998804339,8.83733867403874e-05,0.006052959397406745,0.0001088059420244235,1.229216456413269,0.019894231110811234,-5.722045534639619e-05,0.007468217983841896,0.007468217983841896,-1.3411044164968189e-05,-1.3411044164968189e-05
