substeps,h_sub_s,peak_q_m,peak_qdot,final_q_m,cum_damp_E_J,mean_ms
1,0.008333333333333333,6.462582799457251e-06,2.6665266753617608e-05,6.462582799457251e-06,4.459018673040541e-11,6.062880567818259
2,0.004166666666666667,7.783994339638323e-06,5.082276803732383e-05,7.783994339638323e-06,6.535701327891358e-11,10.820340966650596
4,0.0020833333333333333,8.099917672665738e-06,0.00013672218840907223,8.099917672665738e-06,2.3314738538245916e-10,22.274550700482603
8,0.0010416666666666667,8.11064170042488e-06,0.00018938194725316173,8.11064170042488e-06,4.550514605067853e-10,45.185763899159305
16,0.0005208333333333333,8.111627436193143e-06,0.0007449048369981958,8.111627143929948e-06,1.6223851585215461e-09,86.55767638313894
32,0.00026041666666666666,1.3791937687364913e-05,0.0025500991915165775,8.107013175960023e-06,2.8452870182652635e-08,169.69197776634246
