solver,scene,relax,iters,substeps,ratio_off,e_modal_peak,e_imp_peak,u_max,peak_net_J,u_final,eq2_violates,margin_J,margin_allow_J,eq2_violates_allow,max_deposit,excess_max,gross_supply,return_channel,return_frac,cum_modal_gain,cum_rigid_loss,max_net_excess,ledger_holds,ledger_passive,n_clamped,n_steps,n_commits,finite,wall_s
xpbd,shelf,0.7,1,8,772.062435092724,22351.99892100022,28.95102507909968,400.510182666917,22351.99892100022,0.6225244736823997,True,22320.594164940358,22314.410243950526,True,6.1839209898300656,22320.594164940358,55.808815576579704,26.229583739253293,0.46998997323750047,43910.02020626711,55.808815576579704,22320.594164940358,False,False,0,864,864,True,0.5491435000440106
xpbd,shelf,0.7,2,4,444.5409477662002,12869.916127466002,28.95102507909968,409.90048824319547,17097.257448857843,21.829904855467856,True,17066.32251625961,17054.21920736816,True,12.103308891450022,17066.32251625961,41.7107516073852,13.31272214878146,0.31916763989513786,52514.94845972441,41.7107516073852,17066.32251625961,False,False,0,432,432,True,0.3881479169940576
xpbd,ledge,0.7,1,8,925.3594862941055,356211.9567375587,384.94440486488344,1986.0252223902166,781337.6455346504,0.3669221183246694,True,781000.3913208606,780862.8089696747,True,137.58235118580555,781000.3913208606,393.41778579946566,204.59766872511406,0.5200519043879789,1562256.9846219255,393.41778579946566,781000.3913208606,False,False,0,864,864,True,1.0258619580417871
xpbd,ledge,0.7,2,4,2282.4109850997174,878601.3383162831,384.94440486488344,2395.5523902931654,1135395.492357603,3.4153934514296926,True,1135059.9848539052,1134870.431513966,True,189.5533399390938,1135059.9848539052,473.95978353813183,121.43816540971818,0.25622040018496217,1330060.4618857694,473.95978353813183,1135059.9848539052,False,False,0,432,432,True,0.7482659589732066
xpbd,dinner,0.7,1,8,4.04959636667328,97.69997164315757,24.125854232583066,9.373240472009044,293.746231666697,0.09608152705270497,True,272.3816426935036,251.45671142657554,True,20.924931266928038,272.3816426935036,31.338813139799445,5.77540381368104,0.1842891684480046,310.7095168202148,31.338813139799445,272.3816426935036,False,False,0,864,864,True,4.014661833993159
xpbd,dinner,0.7,2,4,5.251260994525414,126.69115729116932,24.125854232583066,4.775906446752766,139.24040759952496,0.027599828030656363,True,114.96527917599239,91.0571666397407,True,23.908112536251686,114.96527917599239,29.154760285180476,4.413767900473733,0.15139098580471866,158.76393108561857,29.154760285180476,114.96527917599239,False,False,0,432,432,True,2.797927040955983
avbd,shelf,0.7,1,8,0.080109730518577,2.2846661261663987,28.51920873253465,0.08483248251839534,2.458597445327512,0.005061358686524301,False,-0.00045416557868861675,-14.505003766567748,False,14.50454960098906,-0.00045416557868861675,28.981792968210993,29.225776520620855,1.0084185113280424,2.644988510561113,28.981792968210993,-0.00045416557868861675,True,True,0,864,864,True,0.5021661670180038
avbd,shelf,0.7,2,4,0.09572011956577792,2.6632474179054446,27.82327717502784,0.1332594602461494,3.8418975993476714,0.0021132497997434383,True,0.00385576160806582,-14.53973548088131,False,14.543591242489375,0.00385576160806582,28.830205317139463,29.290260152888507,1.0159573901985202,3.898694830338344,28.830205317139463,0.00385576160806582,True,True,0,432,432,True,0.2897950840415433
avbd,ledge,0.7,1,8,0.09963508485737568,38.43916674324842,385.7995082582889,0.07077270805401151,45.42543505916414,1.131881178824584e-07,True,0.06364911582736477,-95.50849101776006,False,95.57214013358742,0.06364911582736477,641.8496099442298,678.0246538859856,1.0563606230825615,59.17684138518064,641.8496099442298,0.06364911582736477,True,True,0,864,864,True,0.41722933400887996
avbd,ledge,0.7,2,4,0.14138799170205482,54.278599918710604,383.8982311389728,0.10237996591129345,54.278599918710604,3.41985424629758e-07,True,0.15797180862421756,-160.06762693025073,False,160.22559873887494,0.15797180862421756,530.1681772949602,542.7383096590958,1.0237097074144874,61.09963519589896,530.1681772949602,0.15797180862421756,True,True,0,432,432,True,0.28151949995663017
avbd,dinner,0.7,1,8,0.0515111153408255,1.2217497079104862,23.718176161139723,0.07260845437715718,1.8413467634459484,0.0013947435568639616,True,0.008308335314967889,-10.357239752757533,False,10.3655480880725,0.008308335314967889,25.359949874173896,25.63501378184876,1.0108463900378204,1.9181667802211115,25.359949874173896,0.008308335314967889,True,True,0,864,864,True,0.8279722920851782
avbd,dinner,0.7,2,4,0.12377348642671095,3.0022898912154536,24.256324822789708,0.22954062849722698,5.500437067857893,0.010582799498405139,True,0.014638513112448516,-17.226952324213766,False,17.241590837326214,0.014638513112448516,23.962803900418624,24.365689017762215,1.0168129372095955,5.617644874969395,23.962803900418624,0.014638513112448516,True,True,0,432,432,True,0.627197916037403
impulse,shelf,0.7,1,8,0.5324853209267211,15.415996770131747,28.951026749999833,0.4078650595536701,15.814446320556751,0.0012443348496425516,False,-0.0005743256835932852,-7.298482725665708,False,7.297908399982115,-0.0005743256835932852,38.773721725177005,10.508615760357312,0.2710241703089785,19.56859580081379,38.773721725177005,-0.0005743256835932852,True,True,0,864,864,True,1.3823819999815896
