solver,scene,relax,iters,substeps,ratio_off,e_modal_peak,e_imp_peak,u_max,peak_net_J,u_final,eq2_violates,margin_J,margin_allow_J,eq2_violates_allow,max_deposit,excess_max,gross_supply,return_channel,return_frac,cum_modal_gain,cum_rigid_loss,max_net_excess,ledger_holds,ledger_passive,n_clamped,n_steps,n_commits,finite,wall_s
xpbd,shelf,0.7,4,1,6333.221296009669,173830.06290356058,27.44733758365345,4567.550419496815,173830.06290356058,196.78788452274034,True,173799.74647536603,173781.23470765157,True,18.5117677144686,173799.74647536603,38.05761227321287,8.668219152017315,0.22776571188409803,412404.13741176133,38.05761227321287,173799.74647536603,False,False,0,108,108,True,0.21419237495865673
xpbd,shelf,0.7,4,2,213.940082153431,6193.784683848627,28.95102507909968,378.84115194668163,14319.578191403307,11.827117731846329,True,14288.944641402579,14272.215090934364,True,16.729550468214462,14288.944641402579,37.79837041942754,10.746181356427114,0.28430276853691583,59984.97006267548,37.79837041942754,14288.944641402579,False,False,0,216,216,True,0.3221666249446571
xpbd,shelf,0.7,4,4,68.04825543955694,1970.066749819594,28.95102507909968,51.06321631270095,1970.066749819594,1.2192273759381786,True,1943.7597680833178,1929.8794267122034,True,13.880341371114431,1943.7597680833178,38.58093735724162,10.250224135181215,0.26568105487611365,8482.883765985047,38.58093735724162,1943.7597680833178,False,False,0,432,432,True,0.6390832080505788
xpbd,shelf,0.7,4,8,3.1291420717041065,90.59187059397152,28.95102507909968,12.473158143385094,511.5523647220697,0.06782773201817141,True,480.8592951048209,464.2965278394216,True,16.562767265399277,480.8592951048209,41.012256787056124,12.767069798618252,0.311298884743345,2539.1581515505595,41.012256787056124,480.8592951048209,False,False,0,864,864,True,1.2385514170164242
xpbd,shelf,1.0,4,1,10962.069581259255,300879.62441232137,27.44733758365345,7533.102651671455,300879.62441232137,1177.6770152081378,True,300848.89248810644,300830.994082285,True,17.898405821466763,300848.89248810644,39.94099620367735,10.292683516299578,0.2576972157582773,1097544.8020695166,39.94099620367735,300848.89248810644,False,False,0,108,108,True,0.1767323330277577
xpbd,shelf,1.0,4,2,1430.6998213575466,41420.22640878576,28.95102507909968,1055.7798364141458,41420.22640878576,36.45843444733497,True,41389.196262384394,41375.007355856695,True,14.188906527700272,41389.196262384394,39.23187863623685,12.222803083168486,0.3115528368269062,148055.31319273598,39.23187863623685,41389.196262384394,False,False,0,216,216,True,0.37056916602887213
xpbd,shelf,1.0,4,4,244.65874373753115,7083.121425766286,28.95102507909968,171.15197835406863,7083.121425766286,6.847579213445553,True,7059.313328448618,7043.96653417164,True,15.34679427697888,7059.313328448618,41.38498131241675,13.305555868922818,0.32150687150197527,30353.06556881583,41.38498131241675,7059.313328448618,False,False,0,432,432,True,0.6325485409470275
xpbd,shelf,1.0,4,8,29.18916404198103,845.0562202173473,28.95102507909968,19.253553902366015,845.0562202173473,0.7216288058063907,True,812.9987429243278,803.9658224739318,True,9.032920450395958,812.9987429243278,43.89092135938087,14.66961866082021,0.3342289978536724,3753.1465642931853,43.89092135938087,812.9987429243278,False,False,0,864,864,True,1.2658361250068992
avbd,shelf,0.7,4,1,0.5022392611128728,11.271225795569263,22.441944842373005,0.4653964761238843,11.271225795569263,0.18398305799975584,False,-0.0020534795039182587,-13.35506279854974,False,13.353009319045823,-0.0020534795039182587,24.218545635418533,28.618547391391,1.1816790249178986,15.72816415627592,24.218545635418533,-0.0020534795039182587,True,True,0,108,108,True,0.18669316603336483
avbd,shelf,0.7,4,2,0.20564773609723203,5.722707814770331,27.82772095319632,0.1963794334406023,5.722707814770331,0.0026941346824916786,True,0.0033288731687676023,-15.864041892820552,False,15.86737076598932,0.0033288731687676023,29.141075083614822,30.32945266760544,1.040780155865245,6.435680207429406,29.141075083614822,0.0033288731687676023,True,True,0,216,216,True,0.23383120796643198
