solver,scene,relax,iters,substeps,ratio_off,e_modal_peak,e_imp_peak,u_max,peak_net_J,u_final,eq2_violates,margin_J,margin_allow_J,eq2_violates_allow,max_deposit,excess_max,gross_supply,return_channel,return_frac,cum_modal_gain,cum_rigid_loss,max_net_excess,ledger_holds,ledger_passive,n_clamped,n_steps,n_commits,finite,wall_s
xpbd,shelf,0.7,4,1,6333.221296009669,173830.06290356058,27.44733758365345,4567.550419496815,173830.06290356058,196.78788452274034,True,173799.74647536603,173781.23470765157,True,18.5117677144686,173799.74647536603,38.05761227321287,8.668219152017315,0.22776571188409803,412404.13741176133,38.05761227321287,173799.74647536603,False,False,0,108,108,True,0.21584091696422547
xpbd,shelf,0.7,8,2,53.73070660394743,1555.5590344086288,28.95102507909968,46.63302333081971,1854.2180197498853,7.726602855918671,True,1823.913890656787,1803.869179723619,True,20.04471093316812,1823.913890656787,39.761908778589415,10.21816357239026,0.25698372855511487,5610.847043383034,39.761908778589415,1823.913890656787,False,False,0,216,216,True,0.5422845840221271
xpbd,shelf,0.7,16,4,0.4365817490775668,12.63948916662184,28.95102507909968,0.3263423793035076,12.708141575497798,0.014901345267251872,False,-0.002297302734375,-15.435610407079757,False,15.433313104345382,-0.002297302734375,38.94113171148657,9.160901350436719,0.23525000296112358,26.32591627120917,38.94113171148657,-0.002297302734375,True,True,0,432,432,True,2.052333042025566
xpbd,shelf,0.7,32,8,0.4694092144237924,13.589877939143692,28.95102507909968,0.33783091831841694,13.830772196036154,0.0008358808747937769,False,-0.00057432568359375,-17.33261131694813,False,17.332036991264538,-0.00057432568359375,40.939924222685235,11.384327078538663,0.278073965565146,17.441980866228295,40.939924222685235,-0.00057432568359375,True,True,0,864,864,True,7.087892416981049
xpbd,shelf,1.0,4,1,10962.069581259255,300879.62441232137,27.44733758365345,7533.102651671455,300879.62441232137,1177.6770152081378,True,300848.89248810644,300830.994082285,True,17.898405821466763,300848.89248810644,39.94099620367735,10.292683516299578,0.2576972157582773,1097544.8020695166,39.94099620367735,300848.89248810644,False,False,0,108,108,True,0.1743684170069173
xpbd,shelf,1.0,8,2,123.65613735990345,3579.9719338911596,28.95102507909968,87.44070167886814,3579.9719338911596,9.932292282358539,True,3549.0731363718783,3531.5187100909334,True,17.554426280945012,3549.0731363718783,40.94171095560106,11.222409541805291,0.27410699943574296,9973.544885452142,40.94171095560106,3549.0731363718783,False,False,0,216,216,True,0.5425922500435263
xpbd,shelf,1.0,16,4,0.6786529426082029,19.647698361454875,28.95102507909968,0.5127977865392939,19.758269738752027,0.07749543293440841,False,-0.002297302734375,-15.226467670584453,False,15.224170367850078,-0.002297302734375,38.530333510396346,10.46228877575323,0.27153382342071525,46.90815164518955,38.530333510396346,-0.002297302734375,False,True,0,432,432,True,2.0662478749873117
xpbd,shelf,1.0,32,8,0.6979610081110307,20.206686650056145,28.95102507909968,0.474911791387151,20.678631354246967,0.00017062286017122726,False,-0.00057432568359375,-12.481663604146297,False,12.481089278462703,-0.00057432568359375,43.54204660584984,13.999681296322786,0.32152097541602326,26.88301133080548,43.54204660584984,-0.00057432568359375,True,True,0,864,864,True,8.19048216601368
xpbd,ledge,0.7,4,1,56266.17194865355,20817245.79178724,369.97800047218954,49251.49047032853,20817245.79178724,240.41913166945326,True,20816917.71906817,20816612.39295405,True,305.32611411705676,20816917.71906817,422.67240225610135,29.71034492287258,0.0702916603125434,22360443.026449528,422.67240225610135,20816917.71906817,False,False,0,108,108,True,0.2633750840323046
xpbd,ledge,0.7,8,2,47.45301737077002,18266.77353083404,384.94440486488344,478.4346044496097,194369.0758902489,0.10147247929606083,True,194101.19163792563,193837.38138888864,True,263.810249037003,194101.19163792563,406.2604880218703,13.777041049711054,0.033911840939277835,205906.90924567368,406.2604880218703,194101.19163792563,False,False,0,216,216,True,0.9571635000174865
xpbd,ledge,0.7,16,4,0.2199407333866165,84.66495471905708,384.94440486488344,0.2549121986083164,106.70900426852259,0.0003424535946081488,False,-0.0117997822265625,-278.9573990519658,False,278.94559926973926,-0.0117997822265625,418.6108191412432,26.13409074705467,0.06243051911717739,147.62096032239722,418.6108191412432,-0.0117997822265625,True,True,0,432,432,True,3.3021752081112936
