solver,scene,iters,substeps,relax,n_substeps,n_clamped,gamma_min,gap_viol_post_median_m,gap_viol_post_max_m,gap_viol_pre_median_m,gap_viol_pre_max_m,impulse_next_median_Ns,impulse_next_max_Ns,impulse_steady_median_Ns,impulse_next_over_steady,lam_var_clamped_median,lam_var_clamped_max,lam_var_free_median,lam_var_ratio,dP_across_projection_median,dP_across_projection_max,dP_substep_clamped_median,dP_substep_clamped_max,dP_substep_free_median,ledger_holds,ledger_passive
avbd,dinner,4,1,0.7,108,0,1.0,nan,nan,nan,nan,nan,nan,0.4315984611709912,nan,nan,nan,0.27607680082154096,nan,nan,nan,nan,nan,0.20750899065756107,True,True
avbd,dinner,4,1,1.0,108,1,0.8788259756953641,0.001808633086351305,0.001808633086351305,0.0006213128959661265,0.0006213128959661265,0.0,0.0,0.2782950403789679,0.0,8410.541979911393,8410.541979911393,0.29912665777075503,28116.992455941763,0.0,0.0,2.7367630844225648,2.7367630844225648,0.23815260932293286,True,True
