solver,scene,relax,iters,substeps,injects_off,ratio_off,ratio_on,passive_off,passive_on,holds_off,holds_on,cum_gain_off,cum_gain_on,cum_loss_off,cum_loss_on,max_net_excess_on,e_modal_peak_off,e_imp_peak_off,n_clamped_on,n_steps_on,finite_off,finite_on,wall_off_s,wall_on_s
xpbd,shelf,0.7,4,1,True,6333.221296009669,1.1968564004605384,True,True,True,True,0.0,32.85052166259677,0.0,32.8505216625967,7.105427357601002e-14,173830.06290356058,27.44733758365345,107,108,True,True,0.21908049995545298,0.24393208394758403
xpbd,shelf,0.7,8,2,True,53.73070660394743,1.0106758619142793,True,True,True,True,0.0,31.023751930670365,0.0,31.023751930670358,2.7755575615628914e-17,1555.5590344086288,28.95102507909968,162,216,True,True,0.5461803339421749,0.71177599998191
xpbd,shelf,0.7,16,4,False,0.4365817490775668,0.4365817490775668,True,True,True,True,0.0,26.32591627120917,0.0,38.94113171148657,-0.002297302734375,12.63948916662184,28.95102507909968,0,432,True,True,2.2045216659316793,2.1787384999915957
xpbd,shelf,0.7,32,8,False,0.4694092144237924,0.4694092144237924,True,True,True,True,0.0,17.441980866228295,0.0,40.939924222685235,-0.00057432568359375,13.589877939143692,28.95102507909968,0,864,True,True,7.5363868329441175,7.715058709029108
xpbd,shelf,1.0,4,1,True,10962.069581259255,1.2212861781434106,True,True,True,True,0.0,33.52105401775216,0.0,33.521054017752014,9.947598300641403e-14,300879.62441232137,27.44733758365345,107,108,True,True,0.1817158330231905,0.2439687920268625
xpbd,shelf,1.0,8,2,True,123.65613735990345,1.0024541533952553,True,True,True,True,0.0,31.614239205751534,0.0,31.61423920575153,1.0658141036401503e-14,3579.9719338911596,28.95102507909968,170,216,True,True,0.5655137080466375,0.7151673339540139
xpbd,shelf,1.0,16,4,False,0.6786529426082029,0.6786529426082029,True,True,True,True,0.0,38.60984957617442,0.0,38.609849576174426,-0.002297302734375,19.647698361454875,28.95102507909968,26,432,True,True,2.1919644159497693,2.168607500032522
xpbd,shelf,1.0,32,8,False,0.6979610081110307,0.6979610081110307,True,True,True,True,0.0,26.88301133080548,0.0,43.54204660584984,-0.00057432568359375,20.206686650056145,28.95102507909968,0,864,True,True,9.031212790985592,9.107006084057502
xpbd,ledge,0.7,4,1,True,56266.17194865355,1.0673167005035578,True,True,True,True,0.0,418.5405721614747,0.0,418.5405721614746,5.684341886080802e-14,20817245.79178724,369.97800047218954,98,108,True,True,0.2664205419132486,0.342803290928714
xpbd,ledge,0.7,8,2,True,47.45301737077002,1.0151256605134884,True,True,True,True,0.0,398.88279362546297,0.0,398.8827936254629,-0.04719912890625,18266.77353083404,384.94440486488344,96,216,True,True,0.9720641250023618,1.0424568749731407
xpbd,ledge,0.7,16,4,False,0.2199407333866165,0.2199407333866165,True,True,True,True,0.0,147.62096032239722,0.0,418.6108191412432,-0.0117997822265625,84.66495471905708,384.94440486488344,0,432,True,True,3.2680148750077933,3.263227790943347
xpbd,ledge,0.7,32,8,False,0.23900324488681501,0.23900324488681501,True,True,True,True,0.0,141.76395130323598,0.0,465.61547553262454,-0.0029499455566406245,92.002961863731,384.94440486488344,0,864,True,True,10.718763249926269,12.029102207976393
xpbd,ledge,1.0,4,1,True,119533.8648400968,1.0658707614032321,True,True,True,True,0.0,425.771751684416,0.0,425.77175168441573,1.1368683772161603e-13,44355665.41430452,371.071959177762,101,108,True,True,0.281821999931708,0.3594275419600308
xpbd,ledge,1.0,8,2,True,167.72318234516007,1.01222717144518,True,True,True,True,0.0,400.18279199896165,0.0,400.1827919989615,2.7755575615628914e-17,64564.100609901965,384.94440486488344,98,216,True,True,0.9605688749579713,0.9999327500117943
xpbd,ledge,1.0,16,4,False,0.3202085554211415,0.3202085554211415,True,True,True,True,0.0,297.6285944064916,0.0,432.6754143031638,-0.0117997822265625,123.26249179923536,384.94440486488344,0,432,True,True,3.613130541983992,3.6368098329985514
xpbd,ledge,1.0,32,8,False,0.41105085693137294,0.41105085693137294,True,True,True,True,0.0,241.89198864608815,0.0,469.9171121302623,-0.0029499455566406245,158.2317274906477,384.94440486488344,0,864,True,True,9.622522666933946,9.594228625064716
xpbd,dinner,0.7,4,1,False,0.13472324006171416,0.13472324006171416,True,True,True,True,0.0,4.404030417109058,0.0,28.116073786156097,-0.039831052500000005,3.081495208614544,22.87278131971121,0,108,True,True,1.1492935420246795,1.1537800419609994
xpbd,dinner,0.7,8,2,False,0.09577408442628675,0.09577408442628675,True,True,True,True,0.0,3.8621544378077446,0.0,28.2620853063859,-0.009957763125000003,2.310631600127698,24.125854232583066,0,216,True,True,3.713143458007835,3.7242174160201102
xpbd,dinner,0.7,16,4,False,0.11319896573951982,0.11319896573951982,True,True,True,True,0.0,4.4139592387378475,0.0,28.358000844030585,-0.0024894407812499995,2.7310217467108195,24.125854232583066,0,432,True,True,12.808897332986817,12.999030916951597
xpbd,dinner,0.7,32,8,False,0.11641933721455615,0.11641933721455615,True,True,True,True,0.0,4.485046964196039,0.0,28.382397633514742,-0.0006223601953124998,2.808715959492315,24.125854232583066,0,864,True,True,47.70877849997487,47.84250287502073
xpbd,dinner,1.0,4,1,False,0.3721407008706691,0.3721407008706691,True,True,True,True,0.0,10.976026873663686,0.0,29.49457136974024,-0.039831052500000005,8.511892871178876,22.87278131971121,0,108,True,True,1.136990583036095,1.1548938329797238
xpbd,dinner,1.0,8,2,False,0.18624512463342682,0.18624512463342682,True,True,True,True,0.0,7.6362729193019705,0.0,29.697095534463934,-0.009957763125000003,4.493322728435321,24.125854232583066,0,216,True,True,3.680773542029783,3.676173874991946
