scene,relax,iters,substeps,nframes,return_frac,gross_supply_J,return_channel_J,ratio_off,margin_J,eq2_violates
shelf,0.7,4,1,100,0.22776571188409803,38.05761227321287,8.668219152017315,6333.221296009669,173799.74647536603,True
shelf,0.7,4,1,250,0.23598302935430754,38.80675647260663,9.157735951820595,6333.221296009669,173799.74647536603,True
shelf,0.7,4,1,500,0.23756205874674033,38.88675596965418,9.238017806133142,6333.221296009669,173799.74647536603,True
shelf,0.7,4,1,1000,0.23852586490806268,38.935856195562565,9.287208774982512,6333.221296009669,173799.74647536603,True
ledge,1.0,4,1,100,0.14532539208876635,454.92326959223203,66.11190252379468,119533.8648400968,44355351.71797004,True
ledge,1.0,4,1,250,0.15206818508503087,463.87537282647327,70.54068605136383,119533.8648400968,44355351.71797004,True
ledge,1.0,4,1,500,0.15621021661573162,466.21965120155073,72.82827270470509,119533.8648400968,44355351.71797004,True
ledge,1.0,4,1,1000,0.15735174066456048,466.85076111538535,73.45977989208079,119533.8648400968,44355351.71797004,True
