scene,iters,substeps,relax,n_substeps,n_clamped,gamma_min,gap_viol_post_median_m,gap_viol_post_max_m,gap_viol_pre_median_m,gap_viol_pre_max_m,impulse_next_median_Ns,impulse_next_max_Ns,impulse_steady_median_Ns,impulse_next_over_steady,lam_var_clamped_median,lam_var_clamped_max,lam_var_free_median,dP_across_projection_median,dP_across_projection_max,dP_substep_clamped_median,dP_substep_clamped_max,dP_substep_free_median,ledger_holds,ledger_passive
shelf,4,1,0.7,108,107,0.007118960810679125,0.001247651685301764,0.02159776582331164,0.00017388596516500904,0.006200404938657625,0.6628739996857776,9.452492833285664,0.0,nan,4.00247084035447e-08,2.8468163379869545e-05,0.0,0.0,0.0,0.3776339592558692,8.565560275586353,0.5887248372373223,True,True
shelf,8,2,0.7,216,162,0.0883911791685281,0.0002992931727935936,0.00646394892974542,8.877048326723716e-06,0.0005139689604432354,0.29733578565181434,8.747739619458068,0.04312118204424682,6.895353317233208,2.1886888805469697e-09,6.351883432094244e-06,8.45259613248883e-11,0.0,0.0,0.2569059835106228,8.298984899772833,0.38906065630381215,True,True
ledge,4,1,0.7,108,98,0.0038765839839019754,6.969394389003819e-05,0.021188545825207267,4.107425966630787e-05,0.006795063513089797,0.5331465548525868,112.3552232861892,0.5199350006732246,1.0254100111788118,1.130682214919854e-07,0.005030614366188218,1.0561193029684776e-07,0.0,0.0,4.086550711239114,108.51330580935645,4.0755811908049555,True,True
ledge,8,2,0.7,216,96,0.036947830008319915,7.027487513862687e-05,0.00407640017263574,1.582903705326516e-05,0.0008451258785865667,2.3095910883379385,108.07509373988829,0.2656772300672764,8.693221800577678,4.030453528215999e-07,0.0011418905535676078,6.893312324647248e-09,0.0,0.0,0.0031294412230510054,105.76669134385142,2.044080043163633,True,True
