solver,scene,relax,iters,substeps,injects_off,ratio_off,ratio_on,passive_off,passive_on,holds_off,holds_on,cum_gain_off,cum_gain_on,cum_loss_off,cum_loss_on,max_net_excess_on,e_modal_peak_off,e_imp_peak_off,n_clamped_on,n_steps_on,finite_off,finite_on,wall_off_s,wall_on_s
xpbd,shelf,0.7,1,8,True,772.062435092724,1.01870394480968,True,True,True,True,0.0,38.617512670252225,0.0,38.617512670252204,6.938893903907228e-18,22351.99892100022,28.95102507909968,704,864,True,True,0.48786645906511694,0.5241017499938607
xpbd,shelf,0.7,2,4,True,444.5409477662002,1.0220924323157299,True,True,True,True,0.0,35.33404889565284,0.0,35.3340488956528,2.4868995751603507e-14,12869.916127466002,28.95102507909968,402,432,True,True,0.3556466669542715,0.4726591659709811
xpbd,ledge,0.7,1,8,True,925.3594862941055,1.0019714922443776,True,True,True,True,0.0,476.3585799603513,0.0,476.3585799603512,1.7053025658242404e-13,356211.9567375587,384.94440486488344,783,864,True,True,0.9481933750212193,1.1841447909828275
xpbd,ledge,0.7,2,4,True,2282.4109850997174,1.018491671626708,True,True,True,True,0.0,453.45892862385693,0.0,453.45892862385654,2.2737367544323206e-13,878601.3383162831,384.94440486488344,361,432,True,True,0.716014500008896,0.8533062919741496
xpbd,dinner,0.7,1,8,True,4.04959636667328,0.6516669525533325,True,True,True,True,0.0,29.93424021579033,0.0,30.494056978614704,-6.938893903907228e-18,97.69997164315757,24.125854232583066,78,864,True,True,3.8788945839041844,3.445998291950673
xpbd,dinner,0.7,2,4,True,5.251260994525414,0.17666238635268647,True,True,True,True,0.0,28.367869798908742,0.0,28.368716167954002,-0.0024894407812499995,126.69115729116932,24.125854232583066,26,432,True,True,2.7782574999146163,2.6008104170905426
avbd,shelf,0.7,1,8,False,0.080109730518577,0.07975596990296134,,True,,True,,2.6198486110985395,,28.98555211841691,-0.00045416557868861675,2.2846661261663987,28.51920873253465,202,864,True,True,0.43201270792633295,0.4263670409563929
avbd,shelf,0.7,2,4,False,0.09572011956577792,0.09235635430329522,,True,,True,,3.7803590052109612,,28.809942786506262,2.168404344971009e-19,2.6632474179054446,27.82327717502784,136,432,True,True,0.2557570410426706,0.29464408301282674
avbd,ledge,0.7,1,8,False,0.09963508485737568,0.09964596955195267,,True,,True,,58.893734453449,,641.2193337558872,0.0,38.43916674324842,385.7995082582889,343,864,True,True,0.34572587499860674,0.42129587510135025
avbd,ledge,0.7,2,4,False,0.14138799170205482,0.14140402481817205,,True,,True,,60.416360078337796,,530.5672938792454,-0.002461164754605401,54.278599918710604,383.8982311389728,159,432,True,True,0.24463454098440707,0.2785574580775574
avbd,dinner,0.7,1,8,False,0.0515111153408255,0.04971100582311692,,True,,True,,1.8907501695182365,,25.425537931249625,1.6263032587282567e-19,1.2217497079104862,23.718176161139723,276,864,True,True,0.7403034169692546,0.8243632920784876
avbd,dinner,0.7,2,4,False,0.12377348642671095,0.13003183545829486,,True,,True,,6.122923982967469,,23.971053857312146,2.168404344971009e-19,3.0022898912154536,24.256324822789708,123,432,True,True,0.5821986249648035,0.6279901250964031
impulse,shelf,0.7,1,8,False,0.5324853209267211,0.5324853209267211,True,True,True,True,19.56859580081379,19.56859580081379,38.773721725177005,38.773721725177005,-0.0005743256835932852,15.415996770131747,28.951026749999833,0,864,True,True,1.355131334043108,1.3636879159603268
impulse,shelf,0.7,2,4,False,0.46533803749110164,0.46533803749110164,True,True,True,True,16.107015515008015,16.107015515008015,36.29261078633425,36.29261078633425,-0.0022973027343731406,13.472013971197379,28.951026749999983,0,432,True,True,0.7846395829692483,0.7747161249862984
impulse,ledge,0.7,1,8,False,0.12010772393513683,0.12010772393513683,True,True,True,True,117.41381709335536,117.41381709335536,413.4000813665689,413.4000813665689,-0.0029499455566371698,46.234795725576575,384.9443999999974,0,864,True,True,2.032443708041683,1.9958595419302583
impulse,ledge,0.7,2,4,False,0.17745730188754255,0.17745730188754255,True,True,True,True,99.44775978123099,99.44775978123099,413.5259183802262,413.5259183802262,-0.011799782226547728,68.31119460071875,384.94439999999895,0,432,True,True,1.1588800000026822,1.157673874986358
impulse,dinner,0.7,1,8,False,0.24374717406692528,0.24374717406692528,True,True,True,True,9.097412316884725,9.097412316884725,29.044932946614118,29.044932946614118,-0.0006223601953122073,5.88060913054035,24.12585562499986,0,864,True,True,11.670558333047666,11.640820499975234
impulse,dinner,0.7,2,4,False,0.1566716658297075,0.1566716658297075,True,True,True,True,6.841484048432001,6.841484048432001,28.979743399887127,28.979743399887127,-0.002489440781248394,3.779837990335767,24.125855624999986,0,432,True,True,6.041775332996622,5.969297542003915
