scene,relax,iters,substeps,ratio_explicit,ratio_implicit,e_modal_explicit,e_modal_implicit,holds_explicit,holds_implicit,finite_explicit,finite_implicit,ratio_frozen,baseline_reldiff,f_lo_hz,f_hi_hz,h_sub,wratio_min,wratio_max,wall_s
shelf,0.7,4,1,6333.221296009669,0.06726910144219793,173830.06290356058,1.846357736233036,True,True,True,True,6333.221296009669,0.0,20.340385061101838,24707.92121981384,0.008333333333333333,5.96773091974716e-07,0.46282821275397684,0.41010083397850394
shelf,0.7,8,2,53.73070660394743,0.19250470653173865,1555.5590344086288,5.573208586645089,True,True,True,True,53.73070660394743,0.0,20.340385061101838,24707.92121981384,0.004166666666666667,2.3842304182170047e-06,0.7711601533681365,1.1678557500708848
shelf,0.7,16,4,0.4365817490775668,0.3056589126051213,12.63948916662184,8.849138844481203,True,True,True,True,0.4365817490775668,0.0,20.340385061101838,24707.92121981384,0.0020833333333333333,9.514074284651849e-06,0.9280897372042396,4.316415542038158
shelf,0.7,32,8,0.4694092144237924,0.4091767921132535,13.589877939143692,11.846087570256357,True,True,True,True,0.4694092144237924,0.0,20.340385061101838,24707.92121981384,0.0010416666666666667,3.7874287477366636e-05,0.9794145918351327,14.554239417077042
shelf,1.0,4,1,10962.069581259255,0.12488960183141502,300879.62441232137,3.4278870621549125,True,True,True,True,10962.069581259255,0.0,20.340385061101838,24707.92121981384,0.008333333333333333,5.96773091974716e-07,0.46282821275397684,0.3672144169686362
shelf,1.0,8,2,123.65613735990345,0.3311476482050187,3579.9719338911596,9.587063868068373,True,True,True,True,123.65613735990345,0.0,20.340385061101838,24707.92121981384,0.004166666666666667,2.3842304182170047e-06,0.7711601533681365,1.1013593329116702
shelf,1.0,16,4,0.6786529426082029,0.47563900699334355,19.647698361454875,13.770236820062356,True,True,True,True,0.6786529426082029,0.0,20.340385061101838,24707.92121981384,0.0020833333333333333,9.514074284651849e-06,0.9280897372042396,4.35998966707848
shelf,1.0,32,8,0.6979610081110307,0.618168099238048,20.206686650056145,17.89660014414011,True,True,True,True,0.6979610081110307,0.0,20.340385061101838,24707.92121981384,0.0010416666666666667,3.7874287477366636e-05,0.9794145918351327,15.7237428749213
ledge,0.7,4,1,56266.17194865355,4.09648377731042e-05,20817245.79178724,0.015118980646809426,True,True,True,True,56266.17194865355,0.0,118.10031210177867,190902.6610393876,0.008333333333333333,9.996729613313234e-09,0.025444697264188177,0.5517484999727458
ledge,0.7,8,2,47.45301737077002,0.0005177616820991294,18266.77353083404,0.19930946257749035,True,True,True,True,47.45301737077002,0.0,118.10031210177867,190902.6610393876,0.004166666666666667,3.9939047835200224e-08,0.09442096663647667,1.9672669998835772
ledge,0.7,16,4,0.2199407333866165,0.01715013769716915,84.66495471905708,6.601849549187581,True,True,True,True,0.2199407333866165,0.0,118.10031210177867,190902.6610393876,0.0020833333333333333,1.5937458899344508e-07,0.2936395238374123,6.512392917065881
ledge,0.7,32,8,0.23900324488681501,0.08418871657882143,92.002961863731,32.40797539977276,True,True,True,True,0.23900324488681501,0.0,118.10031210177867,190902.6610393876,0.0010416666666666667,6.344671586138762e-07,0.6229390178662085,21.795860874000937
ledge,1.0,4,1,119533.8648400968,8.285343589782368e-05,44355665.41430452,0.030578895510317523,True,True,True,True,119533.8648400968,0.0,118.10031210177867,190902.6610393876,0.008333333333333333,9.996729613313234e-09,0.025444697264188177,0.5598530421266332
ledge,1.0,8,2,167.72318234516007,0.0010545380632874105,64564.100609901965,0.40593852717953904,True,True,True,True,167.72318234516007,0.0,118.10031210177867,190902.6610393876,0.004166666666666667,3.9939047835200224e-08,0.09442096663647667,1.9202736250590533
ledge,1.0,16,4,0.3202085554211415,0.031847933848072066,123.26249179923536,12.25968394132228,True,True,True,True,0.3202085554211415,0.0,118.10031210177867,190902.6610393876,0.0020833333333333333,1.5937458899344508e-07,0.2936395238374123,7.308137626037933
ledge,1.0,32,8,0.41105085693137294,0.14304667908814903,158.2317274906477,55.06501874948549,True,True,True,True,0.41105085693137294,0.0,118.10031210177867,190902.6610393876,0.0010416666666666667,6.344671586138762e-07,0.6229390178662085,21.112763917073607
dinner,0.7,4,1,0.13472324006171416,0.07346691495495428,3.081495208614544,1.6803926799984903,True,True,True,True,0.13472324006171416,0.0,4.6954168155161025,5202.094988197112,0.008333333333333333,1.3462304651414677e-05,0.9283481121340521,2.3434211659478024
dinner,0.7,8,2,0.09577408442628675,0.0815048845198533,2.310631600127698,1.966374963169497,True,True,True,True,0.09577408442628675,0.0,4.6954168155161025,5202.094988197112,0.004166666666666667,5.3782573574256526e-05,0.9770583447953429,7.792041666107252
dinner,0.7,16,4,0.11319896573951982,0.08974909426186264,2.7310217467108195,2.1652735656680555,True,True,True,True,0.11319896573951982,0.0,4.6954168155161025,5202.094988197112,0.0020833333333333333,0.00021458184031031142,0.9921004172928231,26.4631358749466
dinner,0.7,32,8,0.11641933721455615,0.10353635804657992,2.808715959492315,2.4979030820043158,True,True,True,True,0.11641933721455615,0.0,4.6954168155161025,5202.094988197112,0.0010416666666666667,0.0008536997279166891,0.9969723737211064,100.91792508307844
dinner,1.0,4,1,0.3721407008706691,0.14436546592706873,8.511892871178876,3.3020397322680624,True,True,True,True,0.3721407008706691,0.0,4.6954168155161025,5202.094988197112,0.008333333333333333,1.3462304651414677e-05,0.9283481121340521,2.348943124874495
dinner,1.0,8,2,0.18624512463342682,0.1587293644342633,4.493322728435321,3.829481508771591,True,True,True,True,0.18624512463342682,0.0,4.6954168155161025,5202.094988197112,0.004166666666666667,5.3782573574256526e-05,0.9770583447953429,7.5866211239481345
dinner,1.0,16,4,0.2120960236861659,0.1766611724797415,5.116997750762923,4.262101695803459,True,True,True,True,0.2120960236861659,0.0,4.6954168155161025,5202.094988197112,0.0020833333333333333,0.00021458184031031142,0.9921004172928231,26.727928833919577
dinner,1.0,32,8,0.22550587267467298,0.20069995168512264,5.440521812740597,4.842057778841733,True,True,True,True,0.22550587267467298,0.0,4.6954168155161025,5202.094988197112,0.0010416666666666667,0.0008536997279166891,0.9969723737211064,95.62052991695236
